#
# nrow 10878
# ncol 3
marker,chromosome,bp
JAX00348743,13,3.006383
JAX00348762,13,3.186946
JAX00348767,13,3.251086
JAX00041159,13,3.268047
JAX00348770,13,3.26807
JAX00348771,13,3.26898
JAX00348772,13,3.26944
JAX00041163,13,3.343767
JAX00348774,13,3.346486
JAX00348779,13,3.374866
JAX00041171,13,3.435505
JAX00041175,13,3.482634
JAX00041176,13,3.495976
JAX00348787,13,3.49972
CEAJAX00041178,13,3.526958
JAX00348791,13,3.532899
JAX00348795,13,3.554816
JAX00041181,13,3.563448
JAX00041182,13,3.567151
JAX00348798,13,3.600997
JAX00348799,13,3.631088
JAX00041185,13,3.632531
JAX00041186,13,3.632956
JAX00348802,13,3.638
JAX00348804,13,3.63941
JAX00041188,13,3.658533
JAX00348807,13,3.673866
JAX00348808,13,3.674089
JAX00348809,13,3.676949
UNC22027003,13,3.699914
JAX00348817,13,3.728658
JAX00041193,13,3.75003
JAX00348819,13,3.752768
JAX00348823,13,3.756792
JAX00041196,13,3.761314
JAX00348825,13,3.762171
JAX00348826,13,3.763952
JAX00041197,13,3.778624
JAX00041199,13,3.817181
JAX00348832,13,3.831042
JAX00041201,13,3.831206
JAX00348833,13,3.831363
JAX00348835,13,3.876452
JAX00348836,13,3.887446
JAX00041205,13,3.89863
JAX00348837,13,3.899689
JAX00348842,13,3.930478
UNC22029209,13,3.933769
JAX00348843,13,3.935898
JAX00201856,13,3.95183
JAX00348846,13,3.966573
JAX00348847,13,3.966676
JAX00348849,13,3.967192
JAX00041211,13,3.991248
JAX00041214,13,4.001633
UNC22030396,13,4.028473
JAX00041215,13,4.034676
JAX00041216,13,4.037236
JAX00348858,13,4.058991
JAX00348860,13,4.062258
JAX00041222,13,4.102321
JAX00041224,13,4.139132
JAX00041225,13,4.13983
JAX00348869,13,4.15933
UNC22032065,13,4.199754
JAX00348884,13,4.236938
JAX00348885,13,4.238019
JAX00041233,13,4.264838
JAX00348898,13,4.297368
JAX00348900,13,4.300387
JAX00041236,13,4.313241
JAX00348901,13,4.31584
JAX00041242,13,4.365334
JAX00041244,13,4.426566
JAX00041246,13,4.426683
JAX00348916,13,4.464505
JAX00348917,13,4.465801
JAX00041248,13,4.468106
JAX00041249,13,4.468777
JAX00041251,13,4.516763
JAX00348922,13,4.517278
JAX00348925,13,4.547913
UNC22036173,13,4.549696
JAX00348930,13,4.579384
JAX00041256,13,4.593607
JAX00041258,13,4.598696
JAX00201868,13,4.59986
JAX00041262,13,4.643442
JAX00041263,13,4.643797
JAX00348943,13,4.672148
JAX00348947,13,4.678182
JAX00348949,13,4.689732
