#
# nrow 9861
# ncol 3
marker,chromosome,bp
JAX00049708,14,3.262706
UNC140000426,14,4.390681
JAX00049793,14,8.537816
JAX00049794,14,8.571542
JAX00372120,14,8.572227
JAX00372124,14,8.586923
JAX00049799,14,8.625673
JAX00372129,14,8.635517
JAX00372130,14,8.649344
JAX00372131,14,8.650677
JAX00372132,14,8.655211
JAX00372137,14,8.671565
JAX00049803,14,8.696445
JAX00372138,14,8.697175
JAX00372139,14,8.697613
JAX00049806,14,8.734073
JAX00049807,14,8.734266
JAX00372143,14,8.74369
JAX00372146,14,8.751491
JAX00372147,14,8.75201
JAX00372149,14,8.758657
JAX00372152,14,8.791347
JAX00372154,14,8.795301
JAX00049811,14,8.795898
JAX00372155,14,8.796022
JAX00372156,14,8.796224
JAX00372157,14,8.799436
JAX00372159,14,8.805556
JAX00049814,14,8.823789
JAX00372166,14,8.873349
JAX00372170,14,8.875092
JAX00372173,14,8.879425
JAX00049816,14,8.879657
JAX00049822,14,8.943413
JAX00372183,14,8.953678
JAX00372184,14,8.954354
JAX00372189,14,8.971089
JAX00372191,14,8.971314
JAX00372192,14,8.972491
JAX00372194,14,8.976088
JAX00372199,14,8.991697
JAX00049828,14,9.018991
JAX00049829,14,9.028403
JAX00049830,14,9.038845
JAX00372220,14,9.061202
JAX00372222,14,9.066694
JAX00372223,14,9.070587
JAX00049832,14,9.078034
JAX00372226,14,9.078445
JAX00049833,14,9.081649
JAX00049834,14,9.087931
JAX00204244,14,9.09486
JAX00372231,14,9.110948
JAX00372232,14,9.128579
JAX00049836,14,9.128774
JAX00372237,14,9.138461
JAX00372238,14,9.138758
JAX00372239,14,9.138846
JAX00049838,14,9.1506
JAX00372242,14,9.15114
JAX00372243,14,9.155577
JAX00372249,14,9.174971
JAX00049841,14,9.189034
JAX00372251,14,9.200569
JAX00372255,14,9.206197
JAX00372257,14,9.230446
JAX00049846,14,9.264108
JAX00049847,14,9.265228
JAX00372262,14,9.266044
JAX00049849,14,9.302928
JAX00049850,14,9.308291
JAX00372277,14,9.347477
JAX00049853,14,9.352423
JAX00372283,14,9.391801
JAX00372285,14,9.400395
JAX00372286,14,9.400893
JAX00372289,14,9.427916
JAX00372291,14,9.432063
JAX00372292,14,9.43571
JAX00372294,14,9.44283
JAX00372295,14,9.451552
JAX00372296,14,9.451613
JAX00372297,14,9.452158
JAX00372301,14,9.456271
JAX00372303,14,9.459005
JAX00372310,14,9.492929
JAX00049863,14,9.493163
JAX00372314,14,9.525731
JAX00049867,14,9.527645
JAX00204251,14,9.531751
JAX00372315,14,9.533757
JAX00049868,14,9.55612
JAX00049869,14,9.566822
JAX00049871,14,9.570037
JAX00049873,14,9.629639
JAX00372332,14,9.648627
JAX00372334,14,9.649019
JAX00372344,14,9.697528
JAX00049878,14,9.697877
JAX00049879,14,9.698085
JAX00049883,14,9.739505
JAX00372348,14,9.740063
JAX00372351,14,9.775793
JAX00049884,14,9.776167
JAX00372354,14,9.817325
JAX00372355,14,9.817645
JAX00372364,14,9.87479
JAX00372365,14,9.898479
JAX00204257,14,9.911962
JAX00372366,14,9.925395
JAX00372367,14,9.925503
JAX00372371,14,9.954838
JAX00049897,14,9.955016
JAX00204259,14,9.95763
JAX00372379,14,9.986569
JAX00372382,14,9.987088
JAX00049901,14,9.997796
backupUNC140686121,14,10.004815
JAX00049903,14,10.031933
JAX00372384,14,10.032052
JAX00372385,14,10.03209
JAX00372390,14,10.038504
JAX00372391,14,10.047698
JAX00372393,14,10.048644
JAX00372394,14,10.048659
JAX00049906,14,10.048977
JAX00049907,14,10.055767
JAX00372401,14,10.07943
JAX00372407,14,10.110597
JAX00049911,14,10.128849
JAX00372416,14,10.15102
JAX00204261,14,10.162085
JAX00204263,14,10.173805
JAX00049914,14,10.190376
JAX00372422,14,10.198492
JAX00372423,14,10.199728
JAX00372426,14,10.201385
JAX00372430,14,10.202463
JAX00372432,14,10.202689
JAX00372436,14,10.227289
JAX00372440,14,10.237892
JAX00372441,14,10.238312
JAX00372442,14,10.238388
JAX00372450,14,10.273434
JAX00372451,14,10.273517
JAX00049922,14,10.276283
JAX00372455,14,10.290073
JAX00372461,14,10.291606
JAX00372463,14,10.292391
JAX00372464,14,10.29244
JAX00049924,14,10.296603
UNC140017435,14,10.317929
JAX00049927,14,10.330648
JAX00372474,14,10.354288
JAX00372477,14,10.357917
JAX00372479,14,10.359122
JAX00049929,14,10.360307
JAX00049930,14,10.361479
JAX00372490,14,10.37519
JAX00372495,14,10.379437
JAX00372496,14,10.38427
JAX00372507,14,10.410914
JAX00372508,14,10.414505
JAX00372509,14,10.415872
JAX00372512,14,10.420186
JAX00372516,14,10.437372
JAX00372517,14,10.439987
