#
# nrow 18089
# ncol 3
marker,chromosome,bp
JAX00000002,1,3.036178
JAX00000003,1,3.036265
JAX00240566,1,3.039187
JAX00240567,1,3.050333
JAX00000004,1,3.051362
JAX00240569,1,3.051854
JAX00240570,1,3.054018
JAX00000005,1,3.062749
JAX00000006,1,3.063538
JAX00240573,1,3.091519
JAX00240576,1,3.095935
JAX00000010,1,3.125499
JAX00240584,1,3.196088
JAX00240594,1,3.218496
JAX00240595,1,3.218643
JAX00240596,1,3.237354
JAX00240599,1,3.241947
JAX00240602,1,3.242072
JAX00240603,1,3.242877
JAX00000020,1,3.24544
JAX00000021,1,3.255597
JAX00190636,1,3.309472
JAX00000022,1,3.310442
JAX00240613,1,3.313481
JAX00000024,1,3.31357
JAX00240615,1,3.344957
JAX00240616,1,3.345737
JAX00240619,1,3.347535
JAX00240620,1,3.349702
JAX00240622,1,3.350542
JAX00000025,1,3.352988
JAX00240624,1,3.355345
JAX00240628,1,3.356273
JAX00240631,1,3.357012
JAX00000027,1,3.357122
JAX00240632,1,3.35725
JAX00240633,1,3.357964
JAX00240635,1,3.361908
JAX00240636,1,3.379644
JAX00240637,1,3.384323
JAX00240639,1,3.394268
JAX00240649,1,3.445065
JAX00240651,1,3.456813
JAX00240655,1,3.465089
JAX00000039,1,3.487375
JAX00000043,1,3.568717
JAX00240672,1,3.56889
JAX00190644,1,3.569987
JAX00000044,1,3.572277
JAX00240679,1,3.578995
JAX00188660,1,3.590716
JAX00240688,1,3.615896
JAX00240689,1,3.618694
JAX00000046,1,3.62272
JAX00000048,1,3.63482
JAX00240696,1,3.655079
JAX00240697,1,3.655282
UNC010515443,1,3.658709
JAX00240703,1,3.684002
JAX00240710,1,3.731739
JAX00240722,1,3.802346
JAX00240729,1,3.877943
UNC9371,1,3.882799
JAX00000067,1,3.88932
JAX00240732,1,3.889437
JAX00000068,1,3.890801
JAX00240733,1,3.891507
JAX00000069,1,3.896444
JAX00240738,1,3.923164
JAX00240739,1,3.923248
JAX00240741,1,3.961892
JAX00190648,1,3.982668
JAX00240746,1,3.994874
JAX00240749,1,4.004375
UNC11461,1,4.014866
JAX00240761,1,4.048026
JAX00240763,1,4.04883
JAX00240765,1,4.06735
JAX00240768,1,4.080163
JAX00240769,1,4.085361
JAX00240770,1,4.087308
JAX00240771,1,4.090808
JAX00240774,1,4.098591
JAX00000083,1,4.098689
JAX00240776,1,4.131261
JAX00000085,1,4.152504
JAX00000086,1,4.154484
JAX00000087,1,4.159108
JAX00240781,1,4.164816
JAX00240782,1,4.165034
JAX00000088,1,4.185346
JAX00000089,1,4.185434
JAX00190652,1,4.333456
JAX00240810,1,4.342023
JAX00240813,1,4.347257
JAX00240814,1,4.347432
UNC15185,1,4.347901
JAX00000105,1,4.382852
JAX00240817,1,4.38289
JAX00240818,1,4.391468
JAX00240819,1,4.39328
JAX00240824,1,4.402543
JAX00240826,1,4.407027
JAX00240827,1,4.409216
UNC010515539,1,4.420704
UNC16386,1,4.436818
JAX00000109,1,4.460108
JAX00240836,1,4.46204
JAX00240838,1,4.464405
JAX00000110,1,4.464567
JAX00000111,1,4.468699
JAX00000115,1,4.528212
JAX00000116,1,4.532877
JAX00240846,1,4.53545
JAX00240850,1,4.57307
JAX00240863,1,4.632333
JAX00240864,1,4.63352
JAX00240867,1,4.633742
JAX00240869,1,4.634109
UNC19217,1,4.658505
JAX00000126,1,4.667943
JAX00000128,1,4.708252
JAX00240881,1,4.764241
JAX00240887,1,4.767107
JAX00240888,1,4.767168
JAX00000134,1,4.786095
UNC21023,1,4.799357
JAX00240895,1,4.819773
JAX00240896,1,4.82006
JAX00240900,1,4.837705
JAX00240901,1,4.840374
JAX00240904,1,4.8448
JAX00240906,1,4.845594
JAX00240907,1,4.857034
JAX00000142,1,4.885531
JAX00000143,1,4.889479
JAX00190669,1,4.913437
JAX00000146,1,4.943982
JAX00000147,1,4.945821
JAX00240924,1,4.960568
JAX00000148,1,4.978456
JAX00000149,1,4.978882
JAX00240937,1,5.000212
JAX00240939,1,5.000656
JAX00240940,1,5.000727
JAX00240941,1,5.001131
JAX00000151,1,5.002966
UNC23507,1,5.022167
JAX00000152,1,5.024092
JAX00240945,1,5.03761
JAX00000154,1,5.055312
JAX00240951,1,5.0608
JAX00000155,1,5.078482
JAX00000156,1,5.07953
JAX00000157,1,5.109668
JAX00000158,1,5.109752
JAX00000159,1,5.110094
JAX00240955,1,5.123079
UNC23995,1,5.123463
JAX00000161,1,5.123929
JAX00240956,1,5.132457
JAX00240958,1,5.150207
JAX00240966,1,5.198578
UNC24700,1,5.214659
JAX00240970,1,5.223481
JAX00000173,1,5.304252
JAX00240981,1,5.305567
JAX00240982,1,5.305996
JAX00240987,1,5.324672
JAX00240988,1,5.325892
JAX00000179,1,5.37325
JAX00000180,1,5.373266
JAX00240994,1,5.404603
JAX00000181,1,5.405193
JAX00240997,1,5.447331
JAX00000185,1,5.44811
JAX00241000,1,5.533308
JAX00241003,1,5.568658
JAX00241006,1,5.581634
JAX00241009,1,5.593015
UNC26205,1,5.624267
JAX00241014,1,5.647433
JAX00000199,1,5.663066
JAX00000201,1,5.693904
JAX00241026,1,5.715108
JAX00000204,1,5.732957
JAX00241027,1,5.75072
JAX00241029,1,5.758991
JAX00241031,1,5.768602
UNC26932,1,5.77237
JAX00241038,1,5.784334
JAX00000213,1,5.846605
JAX00000215,1,5.857037
JAX00241048,1,5.85773
JAX00241051,1,5.89091
UNC28841,1,5.934873
JAX00000219,1,5.941436
JAX00241060,1,5.941934
JAX00000221,1,5.948692
UNC010516347,1,6.01086
JAX00241078,1,6.065566
JAX00000233,1,6.092965
JAX00241084,1,6.107437
JAX00190694,1,6.156244
JAX00241091,1,6.182785
JAX00000239,1,6.187444
JAX00000240,1,6.220449
JAX00000241,1,6.220779
JAX00000242,1,6.220945
JAX00241095,1,6.223854
JAX00241097,1,6.227535
JAX00000243,1,6.26746
JAX00000244,1,6.271118
JAX00000245,1,6.271601
JAX00241103,1,6.274176
JAX00241104,1,6.277245
JAX00000246,1,6.280126
JAX00000247,1,6.310727
JAX00241107,1,6.314333
JAX00241108,1,6.31486
JAX00000248,1,6.315292
JAX00000249,1,6.333828
UNC34218,1,6.347559
JAX00241116,1,6.418823
JAX00241127,1,6.462532
JAX00241129,1,6.476678
JAX00241132,1,6.480232
JAX00241134,1,6.481441
JAX00241138,1,6.496784
JAX00241139,1,6.508596
JAX00241142,1,6.514604
JAX00241143,1,6.515824
UNC36398,1,6.519513
JAX00241145,1,6.531277
JAX00000266,1,6.534922
JAX00241155,1,6.575339
JAX00000268,1,6.579682
JAX00190700,1,6.579908
JAX00190701,1,6.579959
JAX00000269,1,6.580655
JAX00241158,1,6.590272
JAX00241159,1,6.591173
JAX00241160,1,6.592524
JAX00241161,1,6.593
JAX00241163,1,6.595933
JAX00000271,1,6.622316
JAX00000272,1,6.625302
JAX00241176,1,6.658786
JAX00241178,1,6.664601
JAX00241181,1,6.664775
JAX00241185,1,6.700672
JAX00241187,1,6.712349
JAX00000279,1,6.728865
JAX00241193,1,6.731166
JAX00000280,1,6.737521
JAX00241199,1,6.741729
JAX00241200,1,6.741789
JAX00241205,1,6.746102
JAX00190706,1,6.763672
UNC011026542,1,6.767977
JAX00241207,1,6.778077
JAX00000283,1,6.778858
JAX00000284,1,6.778881
JAX00000285,1,6.805506
JAX00241211,1,6.810544
JAX00241212,1,6.810995
JAX00241213,1,6.811074
JAX00241214,1,6.813685
JAX00241215,1,6.814917
JAX00241219,1,6.830254
JAX00000286,1,6.83118
JAX00241221,1,6.83658
UNC40323,1,6.836784
JAX00000289,1,6.844663
JAX00241227,1,6.872465
JAX00000291,1,6.88102
JAX00241232,1,6.89801
JAX00000293,1,6.899303
JAX00241236,1,6.919018
JAX00241237,1,6.91938
JAX00241239,1,6.921404
JAX00241241,1,6.933712
JAX00241243,1,6.933802
JAX00241244,1,6.952612
JAX00000303,1,7.040285
JAX00241253,1,7.043579
JAX00241261,1,7.093279
UNC44002,1,7.133917
JAX00000310,1,7.142072
JAX00241263,1,7.145539
