#
# nrow 11707
# ncol 3
marker,chromosome,bp
JAX00662862,8,0.05447
JAX00159498,8,0.061827
JAX00662867,8,0.064879
JAX00659231,8,3.083611
JAX00158231,8,3.089134
JAX00659232,8,3.09067
JAX00158234,8,3.130848
JAX00659242,8,3.1586
JAX00659244,8,3.160572
JAX00158239,8,3.190102
JAX00158240,8,3.205541
JAX00659253,8,3.211459
JAX00659259,8,3.219649
JAX00659261,8,3.235539
JAX00659264,8,3.251109
JAX00659266,8,3.274708
JAX00158246,8,3.299881
JAX00659273,8,3.310197
JAX00659275,8,3.312607
JAX00158249,8,3.325759
JAX00158250,8,3.332524
JAX00158251,8,3.356577
JAX00158252,8,3.373219
JAX00158253,8,3.380019
JAX00158254,8,3.390956
JAX00659291,8,3.419226
JAX00659297,8,3.424513
B6_rs32574177,8,3.42581
JAX00158256,8,3.431993
JAX00158257,8,3.435084
JAX00659303,8,3.449114
JAX00158259,8,3.455204
JAX00659309,8,3.478347
JAX00659317,8,3.535392
JAX00158265,8,3.539968
JAX00659319,8,3.545069
JAX00659320,8,3.567694
JAX00158268,8,3.592404
JAX00659322,8,3.599762
JAX00659323,8,3.599791
JAX00659333,8,3.638831
JAX00233722,8,3.641714
JAX00659334,8,3.652537
JAX00659335,8,3.653987
JAX00158275,8,3.668371
JAX00659336,8,3.681352
JAX00659337,8,3.681569
JAX00659340,8,3.684153
JAX00659342,8,3.701108
JAX00158277,8,3.703689
JAX00659343,8,3.708416
JAX00659344,8,3.711933
JAX00659345,8,3.714418
JAX00659346,8,3.714591
JAX00158280,8,3.738912
JAX00158282,8,3.76809
JAX00659357,8,3.841592
JAX00158288,8,3.848794
JAX00158289,8,3.849087
JAX00659364,8,3.873961
JAX00659365,8,3.87421
JAX00659366,8,3.877328
JAX00158291,8,3.915812
JAX00659369,8,3.916128
JAX00158293,8,3.917999
JAX00659376,8,3.955947
JAX00659378,8,3.962743
JAX00659380,8,3.964084
JAX00659382,8,3.968903
JAX00659390,8,4.046679
JAX00158308,8,4.114693
JAX00659397,8,4.133377
JAX00158310,8,4.138487
JAX00659398,8,4.16983
JAX00158313,8,4.182358
JAX00659402,8,4.182916
JAX00659406,8,4.193918
JAX00659410,8,4.199348
JAX00659413,8,4.22732
JAX00659414,8,4.235627
JAX00659417,8,4.23825
JAX00158318,8,4.263335
JAX00158320,8,4.264015
JAX00659422,8,4.266131
JAX00659423,8,4.268939
JAX00659427,8,4.289073
JAX00659428,8,4.29709
JAX00158322,8,4.306006
JAX00158326,8,4.351335
JAX00659444,8,4.401627
JAX00659445,8,4.401652
JAX00659448,8,4.403218
JAX00659451,8,4.428455
JAX00659454,8,4.471064
JAX00158334,8,4.475443
JAX00158336,8,4.481606
JAX00158337,8,4.496156
UNC080007365,8,4.507061
JAX00659456,8,4.514875
JAX00659457,8,4.517047
JAX00659458,8,4.523608
JAX00158340,8,4.52371
JAX00659459,8,4.538547
JAX00659460,8,4.539083
JAX00659462,8,4.539365
JAX00158342,8,4.565739
JAX00659465,8,4.578763
JAX00659469,8,4.591439
JAX00158345,8,4.630135
JAX00158346,8,4.638632
JAX00158351,8,4.703595
JAX00158352,8,4.70362
JAX00659476,8,4.727856
JAX00158354,8,4.736609
JAX00659482,8,4.784672
JAX00659483,8,4.785442
JAX00659486,8,4.809815
JAX00158359,8,4.821654
JAX00158364,8,4.879307
UNC14067338,8,4.894413
JAX00158366,8,4.895942
JAX00158367,8,4.912437
JAX00158372,8,4.979337
JAX00659504,8,4.993611
JAX00659505,8,5.001536
JAX00659512,8,5.082096
JAX00158380,8,5.091271
JAX00233735,8,5.149311
JAX00659518,8,5.154692
JAX00158390,8,5.227007
JAX00659526,8,5.23949
JAX00158393,8,5.254566
JAX00659531,8,5.276903
JAX00659539,8,5.293663
backupJAX00158395,8,5.298832
JAX00158397,8,5.299661
JAX00659546,8,5.368361
JAX00659547,8,5.368552
JAX00158406,8,5.429343
CEAJAX00158407,8,5.462343
JAX00158408,8,5.466476
JAX00158409,8,5.479647
JAX00659555,8,5.512505
JAX00158412,8,5.513871
JAX00659557,8,5.523573
backupJAX00659559,8,5.524661
UNC14075558,8,5.543771
JAX00158418,8,5.580357
JAX00659571,8,5.59154
JAX00158419,8,5.621396
JAX00659574,8,5.62391
JAX00659579,8,5.660549
JAX00659580,8,5.66064
JAX00158423,8,5.661617
JAX00158424,8,5.661741
UNC14078146,8,5.737003
JAX00659595,8,5.750833
JAX00659596,8,5.753961
JAX00659597,8,5.767831
JAX00158431,8,5.768809
JAX00659598,8,5.776849
JAX00659599,8,5.779383
CEAJAX00659602,8,5.781389
JAX00659603,8,5.781478
CEAJAX00158434,8,5.817704
JAX00659607,8,5.846294
JAX00659617,8,5.891091
JAX00158441,8,5.894337
JAX00158442,8,5.894982
JAX00659620,8,5.913906
JAX00158444,8,5.932304
JAX00158446,8,5.964555
JAX00233741,8,5.998882
backupUNC080021687,8,6.044654
JAX00233743,8,6.065825
JAX00158455,8,6.085824
JAX00659635,8,6.087899
JAX00659636,8,6.088079
JAX00158457,8,6.102718
JAX00659640,8,6.11173
JAX00659641,8,6.113112
JAX00158458,8,6.121384
JAX00158459,8,6.121874
JAX00659645,8,6.133277
JAX00659649,8,6.139664
JAX00659655,8,6.166254
JAX00233745,8,6.166933
JAX00659656,8,6.172301
JAX00158462,8,6.172614
JAX00659658,8,6.193319
JAX00158464,8,6.216671
JAX00659662,8,6.230521
JAX00158469,8,6.269716
JAX00659670,8,6.28872
JAX00659671,8,6.288895
JAX00659673,8,6.326517
JAX00659676,8,6.333504
JAX00158473,8,6.338111
JAX00158475,8,6.338446
JAX00659680,8,6.36936
JAX00659681,8,6.370775
JAX00158476,8,6.376872
JAX00659686,8,6.384904
JAX00659687,8,6.385865
JAX00659690,8,6.390995
JAX00233748,8,6.394811
backupUNC080025068,8,6.401458
JAX00158479,8,6.422705
JAX00659697,8,6.457095
JAX00659699,8,6.461242
JAX00659707,8,6.524932
JAX00659713,8,6.553532
JAX00659720,8,6.575353
JAX00659721,8,6.575409
JAX00659722,8,6.575502
JAX00659723,8,6.575549
JAX00659724,8,6.575712
JAX00659725,8,6.57619
JAX00233749,8,6.578307
JAX00659733,8,6.59428
UNC080026940,8,6.601547
JAX00659736,8,6.602087
JAX00659737,8,6.602119
JAX00659740,8,6.603807
JAX00659742,8,6.605112
JAX00659744,8,6.611967
JAX00158494,8,6.614127
JAX00659747,8,6.617515
JAX00158497,8,6.645706
JAX00659753,8,6.657592
JAX00659754,8,6.657865
JAX00659755,8,6.658105
JAX00659756,8,6.659335
JAX00659766,8,6.688748
