#
# nrow 12385
# ncol 3
marker,chromosome,bp
JAX00631071,7,3.12477
JAX00148221,7,3.130432
JAX00631073,7,3.131436
JAX00631078,7,3.135437
UNC070000382,7,3.215309
UNC12367710,7,3.221338
UNC12370256,7,3.419749
UNC12371610,7,3.515688
JAX00148224,7,3.536148
JAX00148227,7,3.570733
JAX00631088,7,3.577427
UNC070001815,7,3.59665
UNC12372829,7,3.600642
JAX00148231,7,3.608705
JAX00631090,7,3.610945
JAX00631097,7,3.641951
JAX00148232,7,3.648559
UNC12373496,7,3.666894
JAX00631112,7,3.883917
JAX00148240,7,3.89035
JAX00148241,7,3.890917
JAX00631114,7,3.891161
JAX00631115,7,3.892857
JAX00631116,7,3.893169
JAX00148244,7,3.932667
JAX00148247,7,3.963082
UNC12374525,7,3.977061
JAX00148249,7,4.007648
JAX00631126,7,4.015124
JAX00631128,7,4.017414
JAX00148251,7,4.048144
JAX00148252,7,4.048944
JAX00148253,7,4.049659
UNC12375156,7,4.051942
JAX00631138,7,4.089486
UNC12375684,7,4.093252
JAX00631147,7,4.163
UNC12376566,7,4.192066
JAX00631155,7,4.194576
JAX00148266,7,4.251091
UNC070002741,7,4.273213
UNC12377259,7,4.288534
JAX00148270,7,4.29003
JAX00190001,7,4.302475
JAX00631164,7,4.316378
JAX00631166,7,4.31695
JAX00631167,7,4.320189
JAX00631170,7,4.356823
JAX00631171,7,4.357438
JAX00631174,7,4.382865
JAX00631176,7,4.394056
JAX00631181,7,4.439589
JAX00631182,7,4.442527
JAX00631183,7,4.472309
JAX00148284,7,4.479133
JAX00631185,7,4.486101
JAX00631190,7,4.508288
JAX00631195,7,4.513702
JAX00631196,7,4.514063
JAX00631197,7,4.515571
JAX00631201,7,4.549806
UNC12380039,7,4.551997
UNC070455799,7,4.597998
JAX00631210,7,4.623524
UNC12380978,7,4.639505
JAX00148296,7,4.647155
JAX00631216,7,4.6602
JAX00631217,7,4.660673
JAX00631222,7,4.672835
UNC12381586,7,4.69008
JAX00148301,7,4.690415
JAX00148306,7,4.761515
JAX00631240,7,4.77711
JAX00631243,7,4.77884
JAX00631255,7,4.825121
UNC070876645,7,4.83901
JAX00631266,7,4.863004
JAX00148315,7,4.887166
JAX00631268,7,4.89417
JAX00631271,7,4.900157
JAX00631274,7,4.90371
UNC12384210,7,4.904366
JAX00631275,7,4.904763
JAX00631278,7,4.907476
JAX00631279,7,4.909676
JAX00631289,7,4.931933
JAX00631290,7,4.932075
JAX00631293,7,4.937714
JAX00631295,7,4.939478
JAX00631298,7,4.941247
JAX00631306,7,4.974134
UNC12385212,7,4.989231
JAX00631311,7,4.997998
JAX00148323,7,5.015088
JAX00148324,7,5.016097
JAX00631321,7,5.056185
JAX00631330,7,5.062108
JAX00231300,7,5.074014
JAX00631336,7,5.098036
JAX00148334,7,5.147318
JAX00631338,7,5.230656
UNC12387094,7,5.236779
JAX00148341,7,5.248944
JAX00631341,7,5.255795
JAX00631342,7,5.255826
JAX00631344,7,5.25985
JAX00631346,7,5.274311
JAX00148343,7,5.287616
JAX00631348,7,5.288479
UNC12388018,7,5.319319
JAX00148348,7,5.331977
JAX00631361,7,5.442871
JAX00631376,7,5.563778
JAX00148371,7,5.648383
JAX00631380,7,5.667278
JAX00631388,7,5.77729
JAX00631392,7,5.777653
JAX00631399,7,5.859405
JAX00190007,7,5.865292
JAX00631400,7,5.867475
JAX00148388,7,5.884969
JAX00148392,7,5.962831
JAX00148393,7,5.963092
UNC070004479,7,5.976462
JAX00148400,7,6.04702
JAX00631412,7,6.053287
JAX00631414,7,6.067496
JAX00631418,7,6.079178
JAX00148402,7,6.090046
JAX00148403,7,6.090488
JAX00631420,7,6.092187
UNC12393002,7,6.142503
JAX00631423,7,6.158521
JAX00631425,7,6.160026
JAX00148407,7,6.162545
JAX00231320,7,6.166973
JAX00631428,7,6.227299
JAX00631436,7,6.266084
JAX00631438,7,6.278577
JAX00631439,7,6.280458
UNC12395307,7,6.291861
JAX00631444,7,6.297151
JAX00631445,7,6.297897
JAX00631451,7,6.328673
JAX00631456,7,6.338428
JAX00631458,7,6.339935
JAX00631459,7,6.340696
JAX00631460,7,6.34352
backupUNC070886038,7,6.344759
UNC12396268,7,6.350071
JAX00148423,7,6.366865
JAX00631468,7,6.380613
UNC12397154,7,6.398436
JAX00231326,7,6.412183
JAX00231327,7,6.412264
JAX00631483,7,6.423752
