#
# nrow 15860
# ncol 3
marker,chromosome,bp
JAX00482024,2,3.01011
JAX00090631,2,3.012632
JAX00482026,2,3.02411
JAX00482027,2,3.044402
JAX00482028,2,3.04729
JAX00482029,2,3.077799
JAX00482031,2,3.079164
JAX00090634,2,3.079648
backupUNC020000070,2,3.081519
JAX00482036,2,3.082499
JAX00482037,2,3.08259
JAX00482040,2,3.086868
UNC2466989,2,3.09958
JAX00090637,2,3.101056
JAX00215381,2,3.110893
JAX00482047,2,3.145251
JAX00482049,2,3.151022
JAX00482052,2,3.154595
JAX00482053,2,3.170083
JAX00482056,2,3.208384
JAX00482059,2,3.211584
JAX00482060,2,3.213008
JAX00482062,2,3.216295
JAX00482066,2,3.280765
JAX00090650,2,3.285529
JAX00090651,2,3.28556
JAX00482068,2,3.291866
CEAJAX00090652,2,3.311972
JAX00482079,2,3.333564
JAX00090654,2,3.337544
JAX00482080,2,3.343769
JAX00090655,2,3.348108
JAX00482081,2,3.357903
JAX00482082,2,3.367029
JAX00482085,2,3.367813
JAX00482087,2,3.373787
JAX00090657,2,3.374784
JAX00215388,2,3.374901
JAX00090658,2,3.392977
JAX00482094,2,3.426406
JAX00090663,2,3.459998
JAX00482099,2,3.482169
UNC2471300,2,3.512715
UNC2471438,2,3.531126
JAX00482105,2,3.540896
JAX00482106,2,3.543918
UNC2472028,2,3.570977
JAX00090673,2,3.574399
JAX00482109,2,3.594713
JAX00482110,2,3.596914
UNC2472526,2,3.599163
JAX00482112,2,3.602582
JAX00482118,2,3.608256
UNC2472909,2,3.632369
JAX00090677,2,3.660108
UNC2473318,2,3.668245
JAX00482123,2,3.687259
JAX00482131,2,3.69771
JAX00090680,2,3.698292
UNC2473662,2,3.700056
JAX00482133,2,3.714284
JAX00482135,2,3.71655
JAX00482138,2,3.770292
UNC2474590,2,3.789095
JAX00482145,2,3.807906
JAX00482146,2,3.813027
JAX00090689,2,3.81827
JAX00482149,2,3.822808
JAX00482152,2,3.828358
JAX00482155,2,3.834384
JAX00482156,2,3.841739
JAX00090692,2,3.842759
UNC2475469,2,3.845654
JAX00482160,2,3.849963
JAX00215400,2,3.869763
JAX00215401,2,3.894803
JAX00090696,2,3.902813
UNC2476359,2,3.91548
JAX00482176,2,3.936914
JAX00482179,2,3.94122
JAX00482184,2,3.943522
JAX00482185,2,3.949111
JAX00482187,2,3.949283
UNC2476771,2,3.949889
JAX00090699,2,3.950328
JAX00482189,2,3.950412
JAX00482190,2,3.952324
JAX00090700,2,3.957361
UNC2477266,2,3.978095
JAX00090701,2,3.983643
UNC2477500,2,3.991138
JAX00482206,2,4.036568
JAX00482208,2,4.03742
JAX00215404,2,4.03772
UNC2478309,2,4.038155
JAX00090706,2,4.039676
JAX00090707,2,4.056243
UNC2478840,2,4.067947
JAX00215405,2,4.072412
JAX00482214,2,4.078876
JAX00482216,2,4.081307
JAX00482217,2,4.081558
UNC2479300,2,4.0957
JAX00090711,2,4.102264
JAX00090712,2,4.102539
JAX00482222,2,4.112259
JAX00482223,2,4.11357
UNC2479702,2,4.115601
JAX00090713,2,4.13369
JAX00482229,2,4.151601
JAX00090716,2,4.16971
JAX00482242,2,4.176372
JAX00482248,2,4.191318
UNC2481020,2,4.201446
JAX00482251,2,4.203587
JAX00482252,2,4.212351
JAX00482256,2,4.214381
JAX00090720,2,4.215231
UNC2481206,2,4.217841
UNC2481772,2,4.251477
JAX00482258,2,4.265967
JAX00482262,2,4.268465
JAX00482263,2,4.269015
UNC2482282,2,4.283505
JAX00482268,2,4.285523
JAX00090726,2,4.302462
UNC2482652,2,4.317004
JAX00482271,2,4.328822
JAX00090728,2,4.342118
JAX00090730,2,4.356708
JAX00482272,2,4.357568
UNC2483107,2,4.357653
UNC020003180,2,4.360247
UNC2483338,2,4.372617
JAX00482274,2,4.381326
JAX00482276,2,4.381758
JAX00090732,2,4.392934
JAX00090733,2,4.396312
JAX00482278,2,4.402229
JAX00090734,2,4.412279
UNC2484092,2,4.416873
JAX00482283,2,4.4299
UNC2484500,2,4.441839
UNC2484812,2,4.468578
JAX00090739,2,4.473015
JAX00482289,2,4.47723
JAX00090740,2,4.501814
UNC2485247,2,4.504705
JAX00482293,2,4.5161
JAX00482294,2,4.516291
JAX00482295,2,4.516337
JAX00482302,2,4.54232
JAX00090744,2,4.556038
UNC2485966,2,4.563975
JAX00482308,2,4.601355
JAX00482309,2,4.601411
JAX00090751,2,4.615918
UNC2486827,2,4.622508
JAX00482311,2,4.625072
JAX00215420,2,4.643939
JAX00090752,2,4.65499
JAX00090753,2,4.655286
UNC2487777,2,4.685691
JAX00090755,2,4.690083
JAX00482318,2,4.70324
JAX00482320,2,4.716797
JAX00482321,2,4.719807
JAX00482322,2,4.720968
UNC2488313,2,4.722229
JAX00090758,2,4.747399
UNC2488740,2,4.750211
JAX00482325,2,4.757291
JAX00482330,2,4.801795
UNC2489846,2,4.843214
JAX00482334,2,4.851138
JAX00482341,2,4.905303
JAX00482342,2,4.906195
