#
# nrow 13067
# ncol 3
marker,chromosome,bp
UNC050000078,5,3.160082
JAX00572223,5,3.215425
UNC8539874,5,3.216464
JAX00225241,5,3.230119
JAX00225243,5,3.259208
JAX00126469,5,3.259786
JAX00126470,5,3.259901
JAX00572225,5,3.26462
JAX00572226,5,3.267218
JAX00572234,5,3.29939
JAX00572235,5,3.300304
JAX00572236,5,3.305567
backupUNC050000423,5,3.325372
JAX00126475,5,3.329181
JAX00572239,5,3.332381
JAX00572245,5,3.360926
JAX00572246,5,3.361079
JAX00126479,5,3.382807
JAX00572254,5,3.42603
JAX00126487,5,3.493951
JAX00572263,5,3.501434
JAX00126490,5,3.530033
UNC8542083,5,3.531108
JAX00126491,5,3.535741
JAX00572271,5,3.556438
JAX00126493,5,3.573847
UNC8542757,5,3.583415
JAX00572277,5,3.590154
JAX00572281,5,3.609061
JAX00572282,5,3.60948
JAX00225246,5,3.624787
JAX00572286,5,3.644926
JAX00126503,5,3.695352
JAX00572289,5,3.707345
JAX00126505,5,3.735742
JAX00126506,5,3.738109
JAX00572294,5,3.738324
UNC8543985,5,3.744445
JAX00572297,5,3.755499
JAX00126508,5,3.772846
JAX00126509,5,3.775046
JAX00572298,5,3.778272
JAX00572300,5,3.796584
JAX00126510,5,3.800592
JAX00126511,5,3.815576
JAX00126512,5,3.815592
JAX00572301,5,3.815641
JAX00572303,5,3.819402
JAX00126513,5,3.843133
JAX00126515,5,3.85388
JAX00572314,5,3.884799
JAX00572315,5,3.885337
JAX00572317,5,3.889879
JAX00572319,5,3.895231
JAX00225255,5,3.915336
UNC8545548,5,3.92914
JAX00572327,5,3.938115
JAX00572328,5,3.938503
JAX00572329,5,3.9388
JAX00572335,5,3.950207
JAX00572337,5,3.950304
JAX00572340,5,3.958833
backupUNC050315457,5,3.973237
JAX00572343,5,3.979812
JAX00572344,5,3.979904
JAX00572345,5,3.980124
JAX00572347,5,3.980428
JAX00126524,5,3.989202
JAX00572351,5,3.991028
JAX00572353,5,3.993106
JAX00572357,5,4.005565
JAX00572358,5,4.012436
JAX00572359,5,4.012564
UNC8546898,5,4.024372
JAX00572362,5,4.025022
JAX00572365,5,4.031192
JAX00572366,5,4.031454
JAX00572367,5,4.031567
JAX00572369,5,4.034208
JAX00572373,5,4.039309
JAX00126529,5,4.04961
JAX00572378,5,4.055818
JAX00572380,5,4.067866
JAX00572382,5,4.069159
JAX00572383,5,4.070612
JAX00572386,5,4.07978
JAX00126532,5,4.089976
JAX00572389,5,4.101478
UNC8547992,5,4.110268
JAX00126535,5,4.127019
JAX00572399,5,4.161449
JAX00572406,5,4.193739
JAX00572407,5,4.19401
JAX00572408,5,4.194084
JAX00572409,5,4.194224
JAX00126540,5,4.200587
JAX00126541,5,4.200809
JAX00572416,5,4.244682
UNC8549503,5,4.246073
JAX00572420,5,4.246169
JAX00572424,5,4.254356
