#
# nrow 15860
# ncol 3
marker,chr,pos
JAX00482024,2,1.505055
JAX00090631,2,1.506316
JAX00482026,2,1.512055
JAX00482027,2,1.522201
JAX00482028,2,1.523645
JAX00482029,2,1.5388995
JAX00482031,2,1.539582
JAX00090634,2,1.539824
backupUNC020000070,2,1.5407595
JAX00482036,2,1.5412495
JAX00482037,2,1.541295
JAX00482040,2,1.543434
UNC2466989,2,1.54979
JAX00090637,2,1.550528
JAX00215381,2,1.5554465
JAX00482047,2,1.5726255
JAX00482049,2,1.575511
JAX00482052,2,1.5772975
JAX00482053,2,1.5850415
JAX00482056,2,1.604192
JAX00482059,2,1.605792
JAX00482060,2,1.606504
JAX00482062,2,1.6081475
JAX00482066,2,1.6403825
JAX00090650,2,1.6427645
JAX00090651,2,1.64278
JAX00482068,2,1.645933
CEAJAX00090652,2,1.655986
JAX00482079,2,1.666782
JAX00090654,2,1.668772
JAX00482080,2,1.6718845
JAX00090655,2,1.674054
JAX00482081,2,1.6789515
JAX00482082,2,1.6835145
JAX00482085,2,1.6839065
JAX00482087,2,1.6868935
JAX00090657,2,1.687392
JAX00215388,2,1.6874505
JAX00090658,2,1.6964885
JAX00482094,2,1.713203
JAX00090663,2,1.729999
JAX00482099,2,1.7410845
UNC2471300,2,1.7563575
UNC2471438,2,1.765563
JAX00482105,2,1.770448
JAX00482106,2,1.771959
UNC2472028,2,1.7854885
JAX00090673,2,1.7871995
JAX00482109,2,1.7973565
JAX00482110,2,1.798457
UNC2472526,2,1.7995815
JAX00482112,2,1.801291
JAX00482118,2,1.804128
UNC2472909,2,1.8161845
JAX00090677,2,1.830054
UNC2473318,2,1.8341225
JAX00482123,2,1.8436295
JAX00482131,2,1.848855
JAX00090680,2,1.849146
UNC2473662,2,1.850028
JAX00482133,2,1.857142
JAX00482135,2,1.858275
JAX00482138,2,1.885146
UNC2474590,2,1.8945475
JAX00482145,2,1.903953
JAX00482146,2,1.9065135
JAX00090689,2,1.909135
JAX00482149,2,1.911404
JAX00482152,2,1.914179
JAX00482155,2,1.917192
JAX00482156,2,1.9208695
JAX00090692,2,1.9213795
UNC2475469,2,1.922827
JAX00482160,2,1.9249815
JAX00215400,2,1.9348815
JAX00215401,2,1.9474015
JAX00090696,2,1.9514065
UNC2476359,2,1.95774
JAX00482176,2,1.968457
JAX00482179,2,1.97061
JAX00482184,2,1.971761
JAX00482185,2,1.9745555
JAX00482187,2,1.9746415
UNC2476771,2,1.9749445
JAX00090699,2,1.975164
JAX00482189,2,1.975206
JAX00482190,2,1.976162
JAX00090700,2,1.9786805
UNC2477266,2,1.9890475
JAX00090701,2,1.9918215
UNC2477500,2,1.995569
JAX00482206,2,2.018284
JAX00482208,2,2.01871
