#
# nrow 13851
# ncol 3
marker,chromosome,bp
JAX00103739,3,3.032787
JAX00103744,3,3.074301
JAX00513749,3,3.134714
JAX00513750,3,3.134806
JAX00103747,3,3.155584
JAX00513755,3,3.163646
backupUNC030729939,3,3.163885
JAX00219096,3,3.175503
JAX00103749,3,3.199339
JAX00513759,3,3.222213
JAX00513760,3,3.223893
JAX00103757,3,3.267983
JAX00513768,3,3.268131
JAX00513777,3,3.380612
JAX00513778,3,3.383001
JAX00103765,3,3.39866
JAX00513779,3,3.453289
JAX00103773,3,3.513766
JAX00103774,3,3.51384
JAX00513785,3,3.513931
JAX00513789,3,3.51863
JAX00513792,3,3.546208
JAX00513793,3,3.546357
JAX00513794,3,3.554924
JAX00513795,3,3.555844
JAX00513796,3,3.584581
JAX00219104,3,3.614169
JAX00513802,3,3.6252
JAX00513803,3,3.625869
JAX00513804,3,3.637168
JAX00513805,3,3.63871
JAX00513806,3,3.639063
JAX00513809,3,3.651497
JAX00103786,3,3.674193
JAX00513814,3,3.709575
JAX00103788,3,3.715731
JAX00513823,3,3.760175
JAX00513827,3,3.766545
backupUNC030360530,3,3.785419
JAX00103795,3,3.79956
JAX00513835,3,3.829563
JAX00103797,3,3.835468
JAX00103799,3,3.853744
JAX00103800,3,3.87129
JAX00513839,3,3.906292
JAX00103803,3,3.906451
JAX00103806,3,3.950591
JAX00513843,3,3.956559
JAX00513846,3,3.978011
JAX00513849,3,4.003111
JAX00103814,3,4.021409
JAX00103816,3,4.115488
JAX00513866,3,4.122057
JAX00513867,3,4.12214
JAX00103827,3,4.270962
JAX00513887,3,4.307579
JAX00103831,3,4.315648
JAX00513891,3,4.337213
JAX00103834,3,4.356288
JAX00513898,3,4.361556
B6_rs30702264,3,4.365615
JAX00513903,3,4.374142
JAX00513909,3,4.403068
JAX00103839,3,4.435654
JAX00513922,3,4.4697
JAX00103844,3,4.471138
JAX00513926,3,4.471599
JAX00513930,3,4.567364
JAX00513945,3,4.64887
JAX00513946,3,4.662239
backupJAX00513949,3,4.663447
JAX00513954,3,4.674218
JAX00513956,3,4.730008
JAX00103868,3,4.798525
