#
# nrow 9341
# ncol 3
marker,chromosome,bp
JAX00391985,15,3.090615
JAX00058341,15,3.098267
JAX00391989,15,3.125333
JAX00058345,15,3.17987
JAX00058346,15,3.180039
JAX00391996,15,3.209168
JAX00058348,15,3.210011
backupUNC150000076,15,3.219262
JAX00058349,15,3.231222
JAX00206152,15,3.246128
JAX00058353,15,3.269911
JAX00392000,15,3.270589
JAX00058355,15,3.29993
JAX00392005,15,3.300642
JAX00058356,15,3.315013
JAX00392007,15,3.324769
JAX00392009,15,3.363867
JAX00058360,15,3.379247
JAX00058363,15,3.418397
JAX00058366,15,3.456229
JAX00058367,15,3.45639
JAX00392020,15,3.493386
JAX00392021,15,3.494411
JAX00392023,15,3.509446
JAX00058370,15,3.519753
JAX00058371,15,3.519912
JAX00058373,15,3.538844
JAX00058374,15,3.557412
JAX00392040,15,3.562413
JAX00392041,15,3.562981
JAX00392043,15,3.564154
JAX00058376,15,3.568048
JAX00392045,15,3.59056
JAX00392046,15,3.592628
UNC150541646,15,3.611808
JAX00058379,15,3.619416
JAX00058380,15,3.628795
JAX00392056,15,3.643286
JAX00058382,15,3.654587
JAX00392060,15,3.654661
JAX00392064,15,3.661327
JAX00058384,15,3.684438
JAX00058385,15,3.685082
JAX00392067,15,3.699453
JAX00392071,15,3.701413
JAX00058386,15,3.709526
JAX00392072,15,3.710278
JAX00392075,15,3.717503
JAX00392076,15,3.717744
UNC24948173,15,3.721358
JAX00392079,15,3.737829
JAX00392081,15,3.738221
JAX00058389,15,3.738675
JAX00058394,15,3.822806
JAX00392094,15,3.828411
JAX00392100,15,3.911722
JAX00392101,15,3.919164
UNC24950039,15,3.929211
JAX00058405,15,3.965549
JAX00058406,15,3.966885
JAX00392109,15,3.969146
JAX00392111,15,3.969432
JAX00392112,15,3.969451
JAX00392113,15,3.970334
JAX00392115,15,3.991099
JAX00392119,15,3.994169
JAX00392123,15,4.004587
JAX00392126,15,4.004756
JAX00392128,15,4.006145
JAX00392129,15,4.006502
JAX00392131,15,4.00719
JAX00058408,15,4.018206
JAX00058411,15,4.043188
JAX00058414,15,4.105333
JAX00392142,15,4.112007
JAX00392143,15,4.112209
JAX00058416,15,4.112345
JAX00392145,15,4.112359
JAX00392150,15,4.118876
UNC24952531,15,4.149548
JAX00392153,15,4.169766
JAX00058421,15,4.174292
JAX00058422,15,4.196392
JAX00206166,15,4.215068
JAX00392164,15,4.219885
JAX00206167,15,4.24023
JAX00058426,15,4.271602
JAX00392173,15,4.285239
JAX00058430,15,4.290595
UNC150001835,15,4.317998
JAX00058432,15,4.320283
JAX00058433,15,4.324784
JAX00392177,15,4.333123
JAX00392180,15,4.340571
JAX00392181,15,4.354209
JAX00392183,15,4.354413
JAX00058436,15,4.3791
JAX00392186,15,4.402
JAX00392200,15,4.491133
JAX00392202,15,4.509442
JAX00392203,15,4.509468
JAX00392211,15,4.550121
JAX00392214,15,4.579998
JAX00392215,15,4.581618
JAX00058454,15,4.614003
JAX00392223,15,4.678626
UNC24956990,15,4.679387
JAX00392233,15,4.711881
JAX00392240,15,4.732955
JAX00392242,15,4.740314
JAX00392244,15,4.743582
JAX00392246,15,4.747565
JAX00392247,15,4.747586
JAX00392248,15,4.747635
JAX00392250,15,4.756494
JAX00392257,15,4.777984
JAX00392258,15,4.789737
JAX00392259,15,4.790651
JAX00392265,15,4.797558
UNC24958067,15,4.823573
backupUNC150414849,15,4.830468
JAX00392269,15,4.86412
JAX00058470,15,4.864244
JAX00058474,15,4.888423
JAX00392276,15,4.893872
JAX00392281,15,4.920055
JAX00058479,15,4.972777
JAX00058480,15,4.973178
JAX00392294,15,4.997397
UNC24959904,15,5.023375
JAX00206179,15,5.033757
JAX00206180,15,5.03378
JAX00058486,15,5.064566
JAX00058487,15,5.064807
JAX00392309,15,5.095513
JAX00392314,15,5.109217
JAX00206182,15,5.139687
JAX00392320,15,5.170781
JAX00392324,15,5.193509
JAX00058496,15,5.19374
backupUNC150415457,15,5.21075
UNC24962211,15,5.211916
JAX00206186,15,5.250848
JAX00392330,15,5.254008
JAX00392336,15,5.284811
JAX00392343,15,5.338091
JAX00058506,15,5.338922
UNC24963717,15,5.378284
JAX00392352,15,5.456505
JAX00058518,15,5.500156
JAX00058519,15,5.500212
JAX00058522,15,5.544756
JAX00392365,15,5.56968
JAX00392366,15,5.57042
JAX00392368,15,5.570988
backupUNC150416509,15,5.60632
JAX00206191,15,5.610069
JAX00058527,15,5.620835
JAX00058528,15,5.625521
JAX00206193,15,5.628347
JAX00392385,15,5.672648
JAX00058534,15,5.704697
JAX00392390,15,5.728795
JAX00392391,15,5.747389
JAX00392392,15,5.755302
JAX00392398,15,5.761879
UNC24968272,15,5.762513
JAX00206196,15,5.771469
CEAJAX00392401,15,5.778288
JAX00392405,15,5.789434
JAX00392407,15,5.825402
JAX00392410,15,5.828797
JAX00392417,15,5.889353
JAX00058549,15,5.892477
JAX00392429,15,5.972143
JAX00392430,15,5.986761
JAX00392431,15,5.988503
JAX00392433,15,6.010633
JAX00392437,15,6.017461
JAX00058559,15,6.031228
JAX00206205,15,6.031941
JAX00392445,15,6.038776
JAX00392447,15,6.039078
JAX00392448,15,6.039287
JAX00058562,15,6.073518
JAX00392452,15,6.077886
JAX00392453,15,6.078226
UNC24973679,15,6.101798
JAX00392458,15,6.117219
JAX00392459,15,6.118047
JAX00392462,15,6.121181
JAX00392465,15,6.13368
JAX00392466,15,6.139385
JAX00058568,15,6.142339
JAX00392467,15,6.169224
JAX00392469,15,6.195817
JAX00058570,15,6.19929
JAX00392471,15,6.200069
JAX00392472,15,6.200182
JAX00392473,15,6.200553
JAX00392477,15,6.229087
JAX00058573,15,6.23048
JAX00392481,15,6.260902
JAX00392482,15,6.261007
UNC24975925,15,6.269322
JAX00058577,15,6.273227
JAX00392483,15,6.279609
JAX00392488,15,6.286776
JAX00392490,15,6.299485
JAX00392491,15,6.309022
JAX00392493,15,6.312438
JAX00392497,15,6.339142
JAX00058581,15,6.341169
JAX00392501,15,6.356543
UNC24977087,15,6.362561
JAX00392504,15,6.368345
JAX00058584,15,6.382347
UNC24977336,15,6.384114
JAX00392507,15,6.390044
JAX00392510,15,6.39626
JAX00392511,15,6.396283
UNC24977664,15,6.415279
JAX00392514,15,6.420316
JAX00392517,15,6.426566
UNC24977847,15,6.432912
JAX00392519,15,6.444762
UNC24978100,15,6.458874
UNC24978233,15,6.474755
JAX00058593,15,6.484692
UNC24978799,15,6.527647
JAX00392530,15,6.531161
JAX00392532,15,6.538932
JAX00058597,15,6.541849
JAX00392534,15,6.542083
UNC24979053,15,6.549181
JAX00206215,15,6.564362
UNC24979392,15,6.57268
JAX00392539,15,6.575479
JAX00058600,15,6.582765
JAX00392544,15,6.596733
JAX00206218,15,6.667084
UNC24980441,15,6.667699
JAX00058610,15,6.703921
UNC24980749,15,6.710499
JAX00058611,15,6.725124
JAX00392559,15,6.729143
JAX00058612,15,6.742181
JAX00058613,15,6.742337
UNC24981174,15,6.765209
JAX00058615,15,6.781116
UNC24981522,15,6.787277
JAX00058616,15,6.790542
UNC24981817,15,6.808163
UNC24982163,15,6.829481
JAX00206225,15,6.838263
UNC24982501,15,6.855244
JAX00392584,15,6.858409
JAX00058620,15,6.864326
JAX00058621,15,6.86442
UNC24982671,15,6.867631
JAX00392588,15,6.87271
JAX00392590,15,6.873036
JAX00206226,15,6.875469
UNC150561938,15,6.900685
JAX00392593,15,6.904805
JAX00392595,15,6.910902
JAX00392596,15,6.910918
JAX00392597,15,6.912731
JAX00392603,15,6.916847
UNC24983321,15,6.922604
JAX00392608,15,6.949265
UNC24983636,15,6.951174
JAX00058630,15,6.963945
UNC24983794,15,6.967907
JAX00392614,15,6.98381
JAX00392617,15,6.984179
JAX00392621,15,6.990217
UNC24984154,15,6.992746
JAX00392624,15,6.993084
JAX00392627,15,6.99756
JAX00392629,15,7.000652
JAX00392634,15,7.003193
UNC24984364,15,7.007199
JAX00392638,15,7.010669
JAX00392640,15,7.011089
JAX00392642,15,7.014793
JAX00058632,15,7.023943
UNC24984830,15,7.039389
UNC24985027,15,7.057053
JAX00058635,15,7.061067
JAX00392650,15,7.06365
JAX00392651,15,7.063735
JAX00392654,15,7.070112
UNC24985412,15,7.08336
UNC24985765,15,7.106678
JAX00206229,15,7.113778
B6_rs13459145,15,7.11798
JAX00392671,15,7.123132
JAX00392672,15,7.123808
JAX00392676,15,7.131468
UNC24986265,15,7.132746
JAX00392678,15,7.14589
JAX00392679,15,7.146416
JAX00392680,15,7.148969
JAX00392682,15,7.149429
UNC24986546,15,7.152124
JAX00392688,15,7.1752
UNC24986909,15,7.17698
JAX00392690,15,7.180278
JAX00392692,15,7.189355
JAX00392697,15,7.206559
UNC24987394,15,7.207326
JAX00392701,15,7.210077
UNC24987518,15,7.216052
JAX00058648,15,7.230007
JAX00058649,15,7.231477
UNC24987860,15,7.247429
JAX00392707,15,7.253847
JAX00392708,15,7.258448
JAX00058651,15,7.262673
UNC24988180,15,7.268535
UNC24988635,15,7.300873
JAX00058653,15,7.302484
JAX00392714,15,7.309104
JAX00392715,15,7.309308
UNC24988795,15,7.310116
JAX00392717,15,7.317843
JAX00392719,15,7.319075
JAX00392721,15,7.321368
UNC24989147,15,7.340515
JAX00392724,15,7.345593
JAX00206236,15,7.357696
JAX00392728,15,7.357932
UNC24989547,15,7.365985
JAX00392730,15,7.367147
UNC24989772,15,7.385584
JAX00392734,15,7.388349
JAX00392736,15,7.389048
JAX00392737,15,7.389671
JAX00392743,15,7.392552
JAX00058660,15,7.395391
UNC24990035,15,7.398534
JAX00392745,15,7.420125
JAX00392747,15,7.425367
UNC24990749,15,7.446488
JAX00058667,15,7.455115
JAX00392749,15,7.477854
JAX00392752,15,7.483757
JAX00392755,15,7.498481
JAX00058669,15,7.4997
JAX00392759,15,7.526195
JAX00392770,15,7.560473
UNC24992145,15,7.56088
JAX00392778,15,7.568896
JAX00058674,15,7.579139
