#
# nrow 10771
# ncol 3
marker,chromosome,bp
JAX00014320,10,3.021156
JAX00281239,10,3.040344
JAX00014323,10,3.052424
JAX00281244,10,3.073227
JAX00014326,10,3.085971
JAX00014327,10,3.088178
JAX00281248,10,3.095414
JAX00281250,10,3.117021
JAX00281253,10,3.141502
JAX00281255,10,3.143494
JAX00281256,10,3.143721
JAX00281264,10,3.152277
JAX00281266,10,3.154379
JAX00281276,10,3.211114
JAX00281282,10,3.215356
JAX00281291,10,3.23228
JAX00281295,10,3.240479
JAX00281300,10,3.274296
JAX00281302,10,3.276802
JAX00281303,10,3.287618
JAX00281305,10,3.291626
JAX00014341,10,3.292225
JAX00014342,10,3.292357
JAX00281308,10,3.311547
JAX00281310,10,3.330935
JAX00281316,10,3.341052
JAX00281318,10,3.343
JAX00281320,10,3.345554
JAX00281325,10,3.349292
JAX00014349,10,3.392205
JAX00281340,10,3.428171
JAX00014352,10,3.429527
JAX00281346,10,3.437485
JAX00281347,10,3.438302
JAX00281348,10,3.450038
JAX00014353,10,3.457199
JAX00014354,10,3.45817
JAX00281353,10,3.466072
JAX00281354,10,3.471878
JAX00281357,10,3.474793
JAX00194443,10,3.49777
JAX00014357,10,3.504309
JAX00281361,10,3.514614
JAX00281362,10,3.516753
JAX00281363,10,3.51857
JAX00281370,10,3.53068
JAX00281371,10,3.531867
JAX00281373,10,3.550147
JAX00014361,10,3.552256
JAX00281376,10,3.555432
JAX00014362,10,3.571944
JAX00014363,10,3.577129
JAX00281379,10,3.590658
JAX00014364,10,3.597808
JAX00281382,10,3.619726
JAX00281384,10,3.623804
JAX00281391,10,3.642903
JAX00014368,10,3.656398
JAX00281394,10,3.66869
JAX00014370,10,3.668806
JAX00281396,10,3.674077
JAX00014373,10,3.693786
JAX00281399,10,3.724237
JAX00014374,10,3.728651
JAX00281402,10,3.731618
JAX00281403,10,3.731914
JAX00281405,10,3.73532
JAX00014375,10,3.747743
JAX00281406,10,3.761351
UNC17323847,10,3.789722
JAX00281415,10,3.792379
JAX00281417,10,3.793648
JAX00281419,10,3.794353
JAX00281422,10,3.797757
JAX00014380,10,3.81685
JAX00281425,10,3.824998
JAX00014383,10,3.842784
JAX00281429,10,3.851232
JAX00281433,10,3.85588
JAX00281435,10,3.856991
JAX00281437,10,3.878195
JAX00281438,10,3.880184
JAX00281442,10,3.899077
JAX00281453,10,3.947927
JAX00014391,10,3.948808
JAX00281460,10,3.962585
JAX00281463,10,3.970238
JAX00281464,10,3.970543
JAX00281465,10,3.970674
JAX00281466,10,3.970742
JAX00014394,10,3.984219
JAX00281472,10,4.044411
JAX00281480,10,4.056283
JAX00281482,10,4.079273
JAX00014401,10,4.080457
JAX00281485,10,4.084743
JAX00281490,10,4.108181
JAX00014404,10,4.137339
JAX00014406,10,4.151188
JAX00014407,10,4.17815
JAX00281494,10,4.178744
JAX00281499,10,4.194239
JAX00281500,10,4.194804
JAX00281504,10,4.198704
JAX00281505,10,4.200199
JAX00281510,10,4.247404
JAX00281511,10,4.247445
JAX00281517,10,4.304646
JAX00281521,10,4.311809
JAX00281525,10,4.350038
JAX00281527,10,4.371982
JAX00281528,10,4.374158
JAX00014423,10,4.37867
JAX00014424,10,4.378936
JAX00281536,10,4.400139
JAX00281537,10,4.401991
JAX00281538,10,4.402656
JAX00281541,10,4.421609
JAX00014428,10,4.442938
JAX00281543,10,4.446668
JAX00281547,10,4.460285
JAX00281552,10,4.478165
UNC100003628,10,4.480568
JAX00014431,10,4.484607
JAX00014433,10,4.491884
JAX00281559,10,4.49999
JAX00281560,10,4.500037
JAX00194462,10,4.500538
JAX00281568,10,4.51688
JAX00187259,10,4.538505
JAX00281574,10,4.558131
JAX00014436,10,4.558359
JAX00014437,10,4.560033
JAX00281576,10,4.576777
JAX00281577,10,4.576936
JAX00281581,10,4.613779
backupUNC100355859,10,4.65188
JAX00281587,10,4.67517
JAX00281590,10,4.684349
JAX00281592,10,4.704051
JAX00281593,10,4.70656
JAX00281594,10,4.707798
JAX00281599,10,4.712212
JAX00014450,10,4.74985
JAX00014451,10,4.759573
JAX00281604,10,4.767582
JAX00281613,10,4.800885
JAX00194469,10,4.801283
JAX00194471,10,4.801846
JAX00281616,10,4.805311
JAX00281618,10,4.815436
JAX00281619,10,4.817161
JAX00281620,10,4.817446
JAX00281621,10,4.817619
JAX00281622,10,4.81942
JAX00281626,10,4.82406
JAX00281628,10,4.824171
JAX00281631,10,4.830684
JAX00281638,10,4.840925
JAX00281648,10,4.862317
JAX00014460,10,4.864511
JAX00281657,10,4.886932
JAX00281658,10,4.88978
JAX00281659,10,4.890057
JAX00281660,10,4.898197
JAX00194472,10,4.905958
JAX00014464,10,4.920124
JAX00014465,10,4.929541
JAX00281661,10,4.933732
JAX00194473,10,4.941836
JAX00281663,10,4.943931
JAX00281667,10,4.965621
JAX00281668,10,4.96823
JAX00014468,10,4.97873
JAX00014469,10,4.980912
JAX00281672,10,4.992094
JAX00281673,10,4.992499
JAX00281675,10,4.995429
JAX00281680,10,4.998266
JAX00014470,10,5.001581
JAX00281682,10,5.004523
JAX00014472,10,5.014654
JAX00281683,10,5.031195
JAX00281685,10,5.031877
JAX00014473,10,5.048081
JAX00281695,10,5.080121
backupUNC100004350,10,5.081753
JAX00281702,10,5.088157
JAX00281704,10,5.105175
JAX00281714,10,5.158958
JAX00014486,10,5.22055
JAX00281723,10,5.224853
JAX00014487,10,5.236376
JAX00281729,10,5.273437
JAX00187261,10,5.279304
JAX00014491,10,5.287451
JAX00281735,10,5.287533
JAX00281736,10,5.301506
JAX00194483,10,5.306763
JAX00194485,10,5.320294
JAX00281745,10,5.368141
JAX00281746,10,5.370617
JAX00281749,10,5.381998
JAX00281755,10,5.396007
JAX00014500,10,5.40313
JAX00281759,10,5.426338
JAX00281760,10,5.43721
JAX00014503,10,5.458328
JAX00014506,10,5.488719
JAX00281766,10,5.495459
JAX00014510,10,5.53813
JAX00014511,10,5.538715
JAX00281775,10,5.550502
JAX00281780,10,5.62073
JAX00014517,10,5.62169
JAX00281782,10,5.62485
JAX00014519,10,5.64901
JAX00281789,10,5.649225
JAX00281790,10,5.66415
JAX00281791,10,5.670514
JAX00281794,10,5.693361
JAX00281796,10,5.697612
JAX00281799,10,5.715668
JAX00281802,10,5.732202
JAX00014525,10,5.739108
JAX00281806,10,5.753132
JAX00281812,10,5.76812
JAX00281814,10,5.770621
JAX00281816,10,5.773138
JAX00281819,10,5.780307
JAX00014527,10,5.789492
backupUNC100004893,10,5.799288
JAX00014536,10,5.892304
JAX00281835,10,5.920286
JAX00281838,10,5.921129
JAX00281839,10,5.921303
JAX00281840,10,5.921715
JAX00281850,10,5.933267
JAX00014540,10,5.94109
JAX00281858,10,5.98931
JAX00281859,10,5.989995
JAX00014546,10,6.021343
JAX00281861,10,6.025182
JAX00281865,10,6.040623
JAX00014548,10,6.050068
UNC100006012,10,6.063478
JAX00281873,10,6.082463
JAX00014553,10,6.092084
JAX00281877,10,6.148419
JAX00014557,10,6.178105
JAX00014558,10,6.178332
JAX00281881,10,6.180082
JAX00014560,10,6.203819
JAX00014561,10,6.204145
JAX00281884,10,6.219208
JAX00281886,10,6.225277
JAX00014562,10,6.226525
JAX00281891,10,6.234616
JAX00281896,10,6.248637
JAX00281898,10,6.262994
JAX00281902,10,6.304755
JAX00014567,10,6.30909
JAX00194504,10,6.313641
JAX00014568,10,6.317118
JAX00014570,10,6.352782
JAX00014573,10,6.382422
JAX00281915,10,6.385877
JAX00014574,10,6.395808
UNC100007206,10,6.414706
JAX00281924,10,6.429023
JAX00281930,10,6.453371
JAX00281934,10,6.500062
JAX00281937,10,6.526862
JAX00281941,10,6.534963
JAX00281942,10,6.557916
CEAJAX00281945,10,6.559052
CEAJAX00281949,10,6.564768
JAX00281952,10,6.574438
JAX00281953,10,6.576791
JAX00281955,10,6.610211
JAX00281959,10,6.61868
JAX00014592,10,6.626901
JAX00281965,10,6.64865
JAX00281967,10,6.650344
JAX00014594,10,6.663137
JAX00281971,10,6.687551
JAX00194512,10,6.69697
JAX00281975,10,6.747308
JAX00281978,10,6.748678
JAX00014600,10,6.749678
JAX00281979,10,6.750815
JAX00281980,10,6.751408
JAX00014607,10,6.832353
JAX00194516,10,6.85203
JAX00014608,10,6.855996
JAX00014609,10,6.861656
JAX00281995,10,6.891856
JAX00014612,10,6.901833
JAX00014615,10,6.92899
JAX00282002,10,6.964714
JAX00282003,10,6.968801
JAX00282008,10,7.000271
JAX00282009,10,7.002083
JAX00014620,10,7.01583
JAX00282015,10,7.050917
JAX00014625,10,7.062656
JAX00014626,10,7.086198
JAX00282026,10,7.14097
JAX00282029,10,7.158365
JAX00282030,10,7.158443
JAX00282032,10,7.164089
JAX00014634,10,7.165957
JAX00282035,10,7.171144
JAX00282036,10,7.172026
JAX00282038,10,7.172874
JAX00282039,10,7.19771
JAX00282040,10,7.21664
JAX00282045,10,7.318167
JAX00282046,10,7.320643
JAX00014638,10,7.324894
JAX00282047,10,7.327143
JAX00014640,10,7.329623
JAX00194526,10,7.344245
JAX00014643,10,7.366877
UNC100010006,10,7.382283
JAX00282052,10,7.385679
JAX00282062,10,7.457952
JAX00282066,10,7.486446
JAX00282068,10,7.503444
JAX00014652,10,7.508975
JAX00014653,10,7.511633
JAX00282074,10,7.531037
JAX00282085,10,7.545769
JAX00282089,10,7.549815
JAX00282090,10,7.562946
JAX00014656,10,7.567411
JAX00282094,10,7.60337
JAX00282095,10,7.603572
JAX00014659,10,7.605806
JAX00014661,10,7.60598
JAX00282104,10,7.638856
JAX00014662,10,7.640834
JAX00282108,10,7.653945
JAX00014663,10,7.657014
JAX00282109,10,7.658286
UNC17374593,10,7.674623
JAX00014666,10,7.693487
JAX00282114,10,7.696643
JAX00014670,10,7.748251
JAX00282122,10,7.751771
JAX00282123,10,7.755344
JAX00194538,10,7.771247
JAX00014672,10,7.77447
JAX00282126,10,7.775039
CEAJAX00014673,10,7.777365
UNC17376161,10,7.781109
JAX00282128,10,7.79093
JAX00014674,10,7.790959
JAX00014676,10,7.812552
JAX00282139,10,7.820625
JAX00282143,10,7.838012
UNC17377242,10,7.838324
JAX00282147,10,7.847501
JAX00282149,10,7.854751
JAX00282166,10,7.892773
JAX00282168,10,7.902931
JAX00282173,10,7.919399
JAX00014684,10,7.929783
JAX00282179,10,7.942952
JAX00014687,10,7.968808
JAX00014688,10,7.977579
UNC17379782,10,8.00251
JAX00282193,10,8.003808
JAX00014691,10,8.021954
JAX00282199,10,8.044012
JAX00282200,10,8.050599
JAX00014693,10,8.053302
JAX00282202,10,8.05743
JAX00282203,10,8.057476
JAX00014694,10,8.05806
UNC17381028,10,8.087966
JAX00014697,10,8.096583
JAX00014698,10,8.129473
JAX00014699,10,8.136357
JAX00014700,10,8.136425
UNC17382044,10,8.163591
JAX00282223,10,8.200211
JAX00282229,10,8.217679
backupUNC100361223,10,8.247056
UNC17383433,10,8.250954
JAX00014708,10,8.254893
JAX00282235,10,8.254976
JAX00282237,10,8.255558
JAX00282239,10,8.263384
JAX00014710,10,8.289761
JAX00282246,10,8.292015
JAX00014714,10,8.33385
UNC17384739,10,8.34519
JAX00282257,10,8.367908
JAX00282260,10,8.381096
JAX00282261,10,8.381949
JAX00282263,10,8.385066
JAX00282264,10,8.385696
JAX00014719,10,8.409193
JAX00014720,10,8.410218
JAX00282267,10,8.4178
JAX00014721,10,8.419224
JAX00282277,10,8.47196
JAX00282284,10,8.485154
JAX00014725,10,8.48755
JAX00014727,10,8.487985
JAX00282290,10,8.510106
JAX00282292,10,8.511363
JAX00282293,10,8.511541
JAX00282297,10,8.516091
JAX00282302,10,8.538452
UNC17387979,10,8.539327
JAX00282305,10,8.579957
JAX00282306,10,8.58406
JAX00282308,10,8.587466
UNC17388740,10,8.587881
JAX00282309,10,8.589597
JAX00282317,10,8.600554
JAX00014734,10,8.6158
JAX00282324,10,8.623123
UNC17390191,10,8.677337
JAX00194554,10,8.678676
JAX00282330,10,8.688756
JAX00282335,10,8.695176
JAX00282340,10,8.699783
JAX00282345,10,8.703523
JAX00014743,10,8.728302
JAX00014745,10,8.744771
JAX00014746,10,8.764848
JAX00014747,10,8.764931
JAX00014748,10,8.770553
JAX00282358,10,8.777379
JAX00282362,10,8.783219
JAX00282363,10,8.783836
UNC17392185,10,8.792334
UNC17392398,10,8.804334
JAX00014749,10,8.816935
JAX00014750,10,8.817077
JAX00194558,10,8.817284
JAX00282366,10,8.818694
JAX00282368,10,8.819184
JAX00282370,10,8.819784
JAX00014752,10,8.847607
JAX00282378,10,8.878525
JAX00282379,10,8.880138
JAX00282380,10,8.880919
JAX00014756,10,8.892027
JAX00282386,10,8.905537
JAX00282388,10,8.906081
JAX00014758,10,8.927422
UNC100012363,10,8.930433
JAX00282391,10,8.932636
JAX00282392,10,8.932853
JAX00282401,10,8.999775
JAX00282405,10,9.008827
JAX00282406,10,9.009087
JAX00282410,10,9.013811
JAX00282413,10,9.018778
JAX00282417,10,9.025719
JAX00282421,10,9.035803
JAX00014767,10,9.041845
JAX00282424,10,9.058679
JAX00282425,10,9.058739
UNC17397568,10,9.129382
JAX00014777,10,9.182208
UNC17398395,10,9.188323
JAX00014779,10,9.20479
JAX00014780,10,9.206297
JAX00282453,10,9.223727
UNC17398899,10,9.225682
JAX00014784,10,9.256813
JAX00282455,10,9.259653
JAX00282461,10,9.264521
JAX00282469,10,9.29211
JAX00282472,10,9.295897
UNC17400795,10,9.32838
JAX00014789,10,9.328512
JAX00282483,10,9.385808
JAX00282485,10,9.387709
JAX00014794,10,9.392439
JAX00282493,10,9.407229
JAX00014800,10,9.476543
JAX00282509,10,9.504908
JAX00282510,10,9.504938
JAX00014801,10,9.505137
JAX00014804,10,9.520936
JAX00282524,10,9.53882
JAX00282530,10,9.55026
UNC17404314,10,9.57918
JAX00014806,10,9.580738
JAX00014808,10,9.586788
JAX00282535,10,9.588344
JAX00282540,10,9.604574
JAX00014810,10,9.608894
JAX00282541,10,9.614367
JAX00014811,10,9.625228
UNC17405188,10,9.6559
JAX00282544,10,9.704726
JAX00282545,10,9.704943
JAX00282548,10,9.712397
JAX00014820,10,9.727758
UNC17406429,10,9.775246
JAX00014823,10,9.782819
UNC17406755,10,9.80887
JAX00282558,10,9.820492
JAX00014826,10,9.826789
JAX00282560,10,9.826847
JAX00282562,10,9.829648
JAX00014827,10,9.851128
JAX00014828,10,9.851193
JAX00014829,10,9.851248
JAX00282566,10,9.897992
JAX00014832,10,9.898185
JAX00282569,10,9.902143
UNC17408166,10,9.937297
JAX00282577,10,9.954884
JAX00014836,10,9.968101
JAX00194588,10,9.971721
JAX00194589,10,9.973303
UNC17408678,10,9.98622
JAX00014838,10,9.986517
JAX00282588,10,10.003121
JAX00014840,10,10.014155
JAX00282590,10,10.024303
JAX00282591,10,10.060306
JAX00282592,10,10.060954
JAX00282594,10,10.070509
JAX00282595,10,10.097242
JAX00014846,10,10.100422
UNC17410060,10,10.114223
JAX00282602,10,10.143165
JAX00282604,10,10.146443
JAX00282608,10,10.151829
JAX00014852,10,10.161639
JAX00014853,10,10.17711
UNC17410695,10,10.181214
UNC100014193,10,10.188269
JAX00014854,10,10.193994
JAX00014855,10,10.196602
JAX00282613,10,10.196843
JAX00194594,10,10.232709
JAX00194595,10,10.232727
JAX00282614,10,10.236416
JAX00282615,10,10.248683
JAX00014858,10,10.254948
JAX00282626,10,10.27637
JAX00282628,10,10.276813
JAX00282632,10,10.298585
JAX00014864,10,10.328796
UNC17412481,10,10.364235
JAX00014867,10,10.367972
JAX00014868,10,10.368317
JAX00282639,10,10.377963
JAX00282641,10,10.397491
JAX00194596,10,10.398069
UNC17412832,10,10.398179
JAX00282643,10,10.402374
JAX00014872,10,10.458442
JAX00282649,10,10.472335
JAX00282651,10,10.478974
JAX00014875,10,10.488745
JAX00282652,10,10.493029
JAX00194601,10,10.500329
UNC17414352,10,10.509355
JAX00282654,10,10.523539
JAX00282659,10,10.528579
JAX00282665,10,10.538358
UNC17414802,10,10.542401
JAX00282666,10,10.554033
JAX00187274,10,10.561994
UNC17415216,10,10.564432
JAX00282669,10,10.566661
JAX00282682,10,10.627674
JAX00282684,10,10.628855
JAX00282692,10,10.63599
JAX00014888,10,10.649598
UNC17416649,10,10.658163
JAX00282698,10,10.663303
JAX00014889,10,10.663346
JAX00282705,10,10.683504
JAX00014891,10,10.694609
JAX00014893,10,10.718787
JAX00282708,10,10.718806
JAX00282711,10,10.726366
JAX00282712,10,10.72676
UNC17417592,10,10.741682
JAX00282716,10,10.742988
JAX00282717,10,10.749842
JAX00282720,10,10.752135
JAX00014898,10,10.768556
JAX00282727,10,10.78966
JAX00282729,10,10.789766
JAX00014900,10,10.818318
UNC17418776,10,10.837829
JAX00282733,10,10.851438
JAX00194613,10,10.871181
JAX00282736,10,10.875766
UNC17419393,10,10.876087
JAX00282738,10,10.886002
backupUNC100196659,10,10.893755
UNC17419588,10,10.904542
JAX00282741,10,10.909644
JAX00282742,10,10.929117
JAX00282743,10,10.930541
UNC17419803,10,10.951317
JAX00014912,10,10.972263
JAX00014913,10,10.972311
JAX00282745,10,10.976724
JAX00282748,10,10.997845
UNC17420178,10,10.9979
JAX00014916,10,11.013522
UNC17420461,10,11.029374
JAX00194618,10,11.034295
JAX00014917,10,11.034803
