#
# nrow 8667
# ncol 3
marker,chromosome,bp
JAX00450671,18,3.149782
JAX00450679,18,3.235757
JAX00450681,18,3.240369
JAX00450682,18,3.271347
CEAJAX00450688,18,3.309354
JAX00212137,18,3.353191
JAX00079765,18,3.37469
JAX00079769,18,3.419265
JAX00450697,18,3.442353
JAX00079772,18,3.464387
JAX00079773,18,3.464679
JAX00450702,18,3.488693
JAX00079775,18,3.496952
JAX00079779,18,3.544234
JAX00450706,18,3.565603
JAX00450707,18,3.567823
JAX00450708,18,3.570585
JAX00079780,18,3.574132
JAX00079784,18,3.61928
JAX00079785,18,3.619314
JAX00079791,18,3.69878
UNC180249267,18,3.71881
JAX00450723,18,3.726196
JAX00450724,18,3.726327
JAX00079793,18,3.739872
JAX00079796,18,3.778601
JAX00079797,18,3.79654
JAX00450730,18,3.797702
JAX00079798,18,3.820006
JAX00212150,18,3.841839
JAX00079801,18,3.862604
JAX00079802,18,3.862702
JAX00079803,18,3.862783
JAX00450736,18,3.872352
JAX00450738,18,3.886065
JAX00450745,18,3.906343
JAX00079806,18,3.906729
JAX00079808,18,3.936417
JAX00079809,18,3.953546
JAX00079810,18,3.971673
JAX00450748,18,3.972383
JAX00079811,18,3.982782
JAX00079812,18,3.98287
backupUNC180249319,18,4.044618
JAX00212154,18,4.051192
JAX00079816,18,4.058242
JAX00079818,18,4.058391
JAX00212156,18,4.088919
JAX00079819,18,4.098054
JAX00079820,18,4.098371
JAX00450759,18,4.106783
JAX00079822,18,4.139277
JAX00450763,18,4.148798
JAX00450766,18,4.153839
JAX00079824,18,4.158268
JAX00079826,18,4.170283
JAX00079828,18,4.218117
JAX00079831,18,4.241565
JAX00450771,18,4.289022
JAX00450773,18,4.294297
JAX00450775,18,4.294609
JAX00450781,18,4.325422
UNC180444886,18,4.330628
JAX00079837,18,4.34154
JAX00450783,18,4.350341
JAX00079838,18,4.351133
JAX00450784,18,4.362708
JAX00212158,18,4.363477
JAX00212160,18,4.376292
JAX00079841,18,4.398492
JAX00450791,18,4.426116
JAX00079846,18,4.460868
JAX00450793,18,4.460981
JAX00079848,18,4.461857
JAX00450797,18,4.479462
JAX00450798,18,4.479527
JAX00079849,18,4.487362
UNC28650753,18,4.511614
JAX00079851,18,4.515556
UNC180320551,18,4.516517
JAX00450800,18,4.520833
JAX00450801,18,4.528592
JAX00450805,18,4.567242
JAX00450807,18,4.57532
JAX00079856,18,4.57607
JAX00450809,18,4.593757
JAX00450810,18,4.593847
JAX00450815,18,4.60339
JAX00450818,18,4.60954
UNC28652433,18,4.646096
JAX00450826,18,4.650201
JAX00212167,18,4.652788
JAX00450831,18,4.671701
JAX00079865,18,4.681098
JAX00450835,18,4.707155
JAX00212171,18,4.736753
JAX00212172,18,4.736818
JAX00079868,18,4.740277
JAX00450842,18,4.779845
JAX00079871,18,4.779902
JAX00450848,18,4.793003
JAX00450852,18,4.821666
JAX00450853,18,4.823628
JAX00450858,18,4.868076
UNC28655293,18,4.868821
JAX00450859,18,4.8712
JAX00450862,18,4.87385
JAX00450865,18,4.875406
JAX00450868,18,4.876597
JAX00079879,18,4.914809
JAX00450872,18,4.92977
JAX00079884,18,4.939412
JAX00450873,18,4.945242
JAX00212178,18,4.976428
JAX00450879,18,4.976596
JAX00079887,18,4.986978
JAX00079889,18,5.008121
JAX00450888,18,5.022
JAX00450891,18,5.037213
JAX00450894,18,5.063779
JAX00079892,18,5.074769
JAX00450895,18,5.077423
JAX00450896,18,5.079782
JAX00450897,18,5.079849
JAX00450898,18,5.083679
JAX00450899,18,5.086864
JAX00450900,18,5.089458
JAX00450912,18,5.134126
JAX00450913,18,5.138076
JAX00450914,18,5.145886
JAX00450923,18,5.197623
JAX00079903,18,5.212085
UNC180001402,18,5.216135
JAX00450930,18,5.228226
JAX00079906,18,5.24737
JAX00450934,18,5.260508
UNC28660113,18,5.26464
JAX00079909,18,5.300517
JAX00079913,18,5.341473
JAX00450947,18,5.369496
JAX00079916,18,5.393517
JAX00450960,18,5.394434
JAX00079918,18,5.404447
JAX00079920,18,5.422036
JAX00450966,18,5.442228
JAX00450969,18,5.447003
JAX00212188,18,5.45911
JAX00450974,18,5.459823
JAX00450975,18,5.465201
JAX00450977,18,5.474069
JAX00079922,18,5.474137
JAX00450978,18,5.474799
JAX00450979,18,5.477073
JAX00450983,18,5.509129
JAX00079929,18,5.526501
JAX00450990,18,5.56663
JAX00079931,18,5.571108
JAX00450992,18,5.571587
JAX00450993,18,5.571631
UNC28663194,18,5.586111
JAX00450994,18,5.606992
JAX00450995,18,5.607886
JAX00212193,18,5.61591
JAX00212194,18,5.615962
JAX00450997,18,5.616543
JAX00450999,18,5.633028
JAX00079936,18,5.644632
JAX00079937,18,5.644846
JAX00451003,18,5.682082
JAX00079939,18,5.699409
JAX00451007,18,5.700681
JAX00079940,18,5.700758
JAX00079941,18,5.700836
JAX00451011,18,5.716294
JAX00079942,18,5.741002
JAX00079945,18,5.779537
JAX00451020,18,5.779999
JAX00451022,18,5.786293
UNC28665110,18,5.791013
JAX00451024,18,5.803628
JAX00451025,18,5.804227
JAX00451028,18,5.81315
UNC180003063,18,5.84146
JAX00079951,18,5.85448
JAX00451032,18,5.855551
JAX00079952,18,5.860095
JAX00079954,18,5.900988
JAX00079958,18,5.945742
UNC28666327,18,5.951988
JAX00451043,18,6.001306
JAX00079964,18,6.014189
JAX00451045,18,6.016636
JAX00451046,18,6.016693
JAX00451048,18,6.031445
JAX00451051,18,6.038505
JAX00451054,18,6.057587
JAX00079967,18,6.060882
JAX00451056,18,6.062755
