#
# nrow 10981
# ncol 3
marker,chromosome,bp
JAX00323920,12,3.109153
JAX00032620,12,3.136333
JAX00323924,12,3.154165
JAX00323927,12,3.158987
JAX00323933,12,3.210996
JAX00323938,12,3.261007
JAX00032639,12,3.382183
JAX00323951,12,3.423249
JAX00032646,12,3.458305
JAX00323952,12,3.459825
JAX00323953,12,3.475684
JAX00032648,12,3.501831
JAX00323959,12,3.507599
JAX00323960,12,3.525627
JAX00032651,12,3.537389
UNC120000218,12,3.562561
UNC20544708,12,3.569173
JAX00032654,12,3.576889
JAX00032656,12,3.601347
JAX00199656,12,3.601982
JAX00199657,12,3.602029
JAX00032658,12,3.615657
UNC120000271,12,3.684189
JAX00323977,12,3.727141
JAX00323979,12,3.733021
JAX00032666,12,3.739126
JAX00323991,12,3.78304
JAX00323995,12,3.794662
JAX00323996,12,3.798336
JAX00323999,12,3.820989
JAX00324008,12,3.839621
JAX00324009,12,3.841245
JAX00324010,12,3.84664
JAX00324019,12,3.878287
UNC20547528,12,3.887396
JAX00032678,12,3.904314
JAX00324025,12,3.918986
UNC20547890,12,3.930702
JAX00324031,12,3.948951
JAX00324033,12,3.957608
JAX00324034,12,3.968422
JAX00324050,12,4.068206
JAX00199662,12,4.120413
UNC20549832,12,4.130052
JAX00324060,12,4.142857
JAX00324061,12,4.143602
JAX00324064,12,4.144367
JAX00324065,12,4.166831
JAX00032699,12,4.175204
backupUNC120343260,12,4.176842
JAX00324075,12,4.20726
JAX00032701,12,4.212862
JAX00032702,12,4.212899
JAX00324076,12,4.213206
JAX00032703,12,4.21494
JAX00324078,12,4.230486
JAX00324081,12,4.238325
UNC20551212,12,4.247074
JAX00032706,12,4.253696
JAX00324088,12,4.273101
JAX00324089,12,4.297253
UNC20551760,12,4.306787
JAX00324093,12,4.321154
JAX00032714,12,4.374728
JAX00324104,12,4.388326
JAX00324105,12,4.393189
JAX00324106,12,4.393954
UNC20552681,12,4.404659
JAX00032719,12,4.45194
JAX00324111,12,4.456556
UNC20553149,12,4.483973
JAX00032724,12,4.494747
JAX00324115,12,4.503704
UNC120617581,12,4.518833
JAX00324118,12,4.52286
JAX00032727,12,4.532493
JAX00324121,12,4.540151
JAX00324122,12,4.540284
UNC20553693,12,4.541292
JAX00324124,12,4.542213
JAX00032730,12,4.588204
UNC20554359,12,4.599435
JAX00324126,12,4.61553
JAX00324127,12,4.615936
JAX00324134,12,4.620796
UNC20554847,12,4.652565
JAX00032736,12,4.652842
JAX00324137,12,4.690614
JAX00032737,12,4.690891
JAX00032739,12,4.691052
JAX00324140,12,4.698668
JAX00032740,12,4.720317
JAX00324150,12,4.748843
JAX00324152,12,4.749969
JAX00324153,12,4.75226
JAX00324154,12,4.753709
JAX00032744,12,4.773258
UNC20556352,12,4.775934
JAX00324157,12,4.782473
JAX00324158,12,4.783466
JAX00324162,12,4.790558
backupJAX00032746,12,4.805938
JAX00032748,12,4.80681
UNC20556847,12,4.834838
JAX00199674,12,4.839313
JAX00032749,12,4.841964
JAX00324167,12,4.847237
JAX00324172,12,4.856946
JAX00324174,12,4.857398
JAX00324175,12,4.870106
JAX00324176,12,4.870779
JAX00324177,12,4.873989
JAX00032752,12,4.880318
JAX00324179,12,4.881153
JAX00324180,12,4.889494
JAX00324181,12,4.889755
JAX00324182,12,4.889936
UNC20557642,12,4.894922
JAX00324186,12,4.952912
JAX00324189,12,4.970715
JAX00324191,12,4.992416
UNC20558531,12,5.008446
JAX00324196,12,5.013262
JAX00324199,12,5.016214
JAX00032764,12,5.038877
UNC20559176,12,5.07638
JAX00324207,12,5.078647
JAX00324208,12,5.081716
UNC20559589,12,5.119913
JAX00199678,12,5.134669
JAX00324223,12,5.137288
JAX00324224,12,5.139296
JAX00032771,12,5.140012
JAX00032772,12,5.140034
JAX00324230,12,5.162283
JAX00324232,12,5.163146
UNC20560330,12,5.187717
JAX00032776,12,5.200125
JAX00324258,12,5.230566
JAX00324259,12,5.237076
JAX00324266,12,5.248622
JAX00324271,12,5.260013
UNC20560999,12,5.260719
JAX00324272,12,5.260898
JAX00324273,12,5.260954
JAX00324276,12,5.26597
JAX00324284,12,5.311971
JAX00324286,12,5.313818
JAX00324287,12,5.313854
JAX00324289,12,5.317394
JAX00032786,12,5.319884
JAX00324290,12,5.321881
JAX00324299,12,5.347806
JAX00324301,12,5.349618
JAX00324303,12,5.353776
JAX00324305,12,5.354273
UNC20562328,12,5.354929
JAX00324306,12,5.356474
JAX00324315,12,5.366908
CEAJAX00324318,12,5.373123
JAX00324320,12,5.374572
JAX00032791,12,5.39062
UNC120343709,12,5.395746
JAX00324322,12,5.412529
JAX00324335,12,5.446036
UNC20563815,12,5.474995
JAX00324343,12,5.481878
JAX00199686,12,5.552847
JAX00324356,12,5.557006
JAX00324357,12,5.562372
UNC20564739,12,5.564981
UNC20565224,12,5.600745
UNC120000974,12,5.606842
JAX00324375,12,5.616379
JAX00032812,12,5.676711
JAX00324382,12,5.680402
JAX00324385,12,5.689828
JAX00324386,12,5.690753
JAX00324387,12,5.696265
JAX00324390,12,5.703291
JAX00324391,12,5.716695
JAX00324393,12,5.723721
UNC20566467,12,5.738462
JAX00199692,12,5.767184
JAX00032819,12,5.769096
JAX00032820,12,5.777083
JAX00324405,12,5.783515
JAX00324406,12,5.784387
JAX00324408,12,5.785907
JAX00324409,12,5.785989
JAX00324412,12,5.790646
JAX00324413,12,5.790915
UNC20566917,12,5.792746
JAX00324417,12,5.809774
UNC20567266,12,5.825127
JAX00032824,12,5.851715
JAX00032826,12,5.851958
JAX00032827,12,5.863464
JAX00324420,12,5.869682
JAX00324421,12,5.869944
JAX00324423,12,5.882963
JAX00324427,12,5.893718
JAX00324430,12,5.91407
JAX00032833,12,5.950432
B6_rs29158719,12,5.967934
JAX00199699,12,5.974144
JAX00324436,12,5.981576
JAX00324444,12,6.006912
UNC20568907,12,6.010187
JAX00324446,12,6.012771
JAX00032839,12,6.040505
JAX00032840,12,6.041719
UNC20569179,12,6.053448
JAX00324450,12,6.057919
JAX00032842,12,6.061811
JAX00324457,12,6.097031
JAX00199702,12,6.119278
UNC20569724,12,6.12895
JAX00324467,12,6.13687
JAX00324472,12,6.168226
UNC20570152,12,6.171301
UNC120575179,12,6.191834
JAX00032852,12,6.21364
JAX00324477,12,6.223076
JAX00324482,12,6.224249
JAX00324484,12,6.22445
JAX00324485,12,6.225066
JAX00324486,12,6.236461
JAX00324487,12,6.236804
UNC20570601,12,6.238371
JAX00032856,12,6.241705
JAX00199704,12,6.251181
JAX00032857,12,6.279326
UNC20571214,12,6.319636
JAX00032862,12,6.320863
JAX00324503,12,6.326354
JAX00199707,12,6.352751
UNC20571445,12,6.361489
JAX00324512,12,6.371248
JAX00324514,12,6.371603
JAX00324520,12,6.392013
JAX00324521,12,6.392202
JAX00324522,12,6.392537
JAX00032866,12,6.395795
JAX00032868,12,6.40262
JAX00324528,12,6.407129
JAX00324530,12,6.425106
UNC20571929,12,6.426977
JAX00324534,12,6.429126
JAX00324540,12,6.446386
JAX00324545,12,6.447664
JAX00324546,12,6.451696
JAX00324548,12,6.453602
