#
# nrow 11501
# ncol 3
marker,chromosome,bp
JAX00684516,9,3.095526
JAX00684521,9,3.113212
JAX00684524,9,3.131611
JAX00684527,9,3.134955
JAX00684531,9,3.194359
JAX00167607,9,3.252405
JAX00684535,9,3.254093
JAX00684537,9,3.266678
JAX00684544,9,3.352885
JAX00684548,9,3.369866
JAX00235954,9,3.380177
JAX00167618,9,3.386573
JAX00684549,9,3.42973
JAX00684550,9,3.442421
JAX00167622,9,3.452057
JAX00684555,9,3.452649
JAX00167624,9,3.455449
JAX00167626,9,3.496718
JAX00684561,9,3.57591
JAX00167630,9,3.576467
JAX00167632,9,3.582987
JAX00684563,9,3.583883
JAX00684567,9,3.637223
JAX00684572,9,3.701161
JAX00684573,9,3.714416
JAX00167642,9,3.725972
JAX00167644,9,3.735318
JAX00235960,9,3.762765
JAX00684576,9,3.762807
JAX00684577,9,3.762979
JAX00684578,9,3.777244
JAX00684579,9,3.777435
JAX00167645,9,3.778493
JAX00167646,9,3.779087
JAX00167650,9,3.816075
JAX00684583,9,3.847761
JAX00684584,9,3.84778
JAX00684589,9,3.851986
JAX00167651,9,3.857725
JAX00684590,9,3.857887
JAX00167654,9,3.89808
JAX00167655,9,3.898096
JAX00167656,9,3.898528
JAX00684595,9,3.96825
UNC15757273,9,3.976356
JAX00684601,9,4.043517
JAX00167666,9,4.04394
JAX00684607,9,4.066767
JAX00167671,9,4.099547
JAX00167672,9,4.122114
JAX00684617,9,4.13338
JAX00684619,9,4.157353
JAX00167675,9,4.163935
JAX00167679,9,4.215411
JAX00235967,9,4.227858
JAX00684624,9,4.275913
JAX00684627,9,4.310628
JAX00167684,9,4.310875
JAX00684628,9,4.320211
JAX00684630,9,4.328057
JAX00235969,9,4.343168
JAX00235970,9,4.343225
JAX00684632,9,4.350131
JAX00167688,9,4.358779
JAX00167690,9,4.37413
JAX00684635,9,4.381293
JAX00684638,9,4.415445
JAX00684639,9,4.419814
JAX00684643,9,4.435811
JAX00167695,9,4.44713
JAX00167697,9,4.453819
JAX00167701,9,4.526789
JAX00167703,9,4.536196
JAX00684658,9,4.537894
JAX00684659,9,4.538235
JAX00684660,9,4.555007
JAX00684661,9,4.555206
JAX00167707,9,4.602169
JAX00167708,9,4.602443
JAX00684671,9,4.632139
JAX00235975,9,4.674768
JAX00167713,9,4.696243
JAX00235977,9,4.704559
JAX00684679,9,4.718557
UNC15764454,9,4.75389
JAX00167718,9,4.75811
JAX00167719,9,4.761699
JAX00684688,9,4.773629
JAX00684694,9,4.798968
JAX00684695,9,4.799187
JAX00684696,9,4.800272
JAX00684699,9,4.804505
JAX00167722,9,4.805448
JAX00684700,9,4.877798
JAX00684701,9,4.877993
JAX00684704,9,4.909782
JAX00684707,9,4.93231
JAX00167736,9,4.988762
UNC15767595,9,4.992363
JAX00684716,9,5.025647
JAX00167739,9,5.038125
JAX00684721,9,5.044325
JAX00684722,9,5.046944
UNC15769082,9,5.091498
JAX00684733,9,5.104465
UNC090003543,9,5.144384
JAX00167746,9,5.145706
JAX00684737,9,5.154608
JAX00684741,9,5.188371
JAX00684743,9,5.189479
JAX00684749,9,5.254581
JAX00167756,9,5.268444
UNC15772421,9,5.290473
JAX00684758,9,5.290699
JAX00684763,9,5.307553
JAX00684767,9,5.346517
JAX00684770,9,5.348846
JAX00684774,9,5.351395
JAX00235990,9,5.366644
JAX00167765,9,5.375871
JAX00167767,9,5.408036
JAX00684779,9,5.408074
JAX00684780,9,5.408512
UNC15774169,9,5.417531
JAX00167771,9,5.455643
JAX00684784,9,5.455691
JAX00684788,9,5.510758
JAX00167776,9,5.533033
UNC15775930,9,5.557393
JAX00235993,9,5.558095
JAX00167780,9,5.579627
JAX00167781,9,5.579801
JAX00684799,9,5.580966
