#
# nrow 13248
# ncol 3
marker,chromosome,bp
JAX00601823,6,3.158439
JAX00137325,6,3.216392
JAX00137327,6,3.218935
JAX00601829,6,3.228574
JAX00137328,6,3.258977
JAX00137329,6,3.259136
JAX00601835,6,3.263761
JAX00601838,6,3.321546
JAX00137332,6,3.321606
JAX00601840,6,3.331237
JAX00137334,6,3.340094
JAX00228426,6,3.340778
JAX00137337,6,3.384871
JAX00601850,6,3.421266
JAX00601851,6,3.423239
JAX00601852,6,3.427327
CEAJAX00601853,6,3.429036
JAX00601854,6,3.430834
JAX00137343,6,3.444168
JAX00137346,6,3.500061
JAX00601866,6,3.523489
JAX00137347,6,3.538151
JAX00137348,6,3.538447
JAX00228429,6,3.553028
JAX00601878,6,3.608577
JAX00137353,6,3.612283
JAX00137354,6,3.612307
JAX00137357,6,3.659487
JAX00137359,6,3.698343
JAX00137360,6,3.698452
JAX00601885,6,3.715692
JAX00601886,6,3.719296
JAX00137363,6,3.755556
JAX00601895,6,3.814165
JAX00137371,6,3.858758
JAX00601898,6,3.88594
JAX00137374,6,3.898513
JAX00137376,6,3.898746
JAX00228437,6,3.902409
JAX00601905,6,3.931061
JAX00601906,6,3.931944
JAX00601907,6,3.93248
JAX00601910,6,3.968666
UNC10471744,6,3.977496
JAX00601911,6,3.977819
JAX00601915,6,3.984107
JAX00189801,6,3.994536
JAX00601918,6,4.003777
JAX00137383,6,4.0158
JAX00601921,6,4.017641
JAX00601922,6,4.018892
JAX00228440,6,4.019351
JAX00137385,6,4.02379
JAX00601924,6,4.038849
JAX00601927,6,4.060853
JAX00601928,6,4.060972
JAX00137388,6,4.061025
JAX00601929,6,4.074793
JAX00137389,6,4.082803
JAX00601933,6,4.08427
JAX00601937,6,4.100032
JAX00137391,6,4.103349
JAX00601940,6,4.12398
JAX00601941,6,4.124004
JAX00601943,6,4.138552
JAX00137394,6,4.146735
JAX00601946,6,4.146791
JAX00601950,6,4.15626
JAX00228443,6,4.161738
JAX00601953,6,4.173858
JAX00601961,6,4.204311
UNC10474750,6,4.204704
JAX00601966,6,4.212889
JAX00137398,6,4.22266
JAX00601968,6,4.226583
JAX00137401,6,4.256326
JAX00601974,6,4.265375
JAX00601979,6,4.286036
JAX00601980,6,4.289139
JAX00601981,6,4.289569
JAX00601983,6,4.291393
JAX00601984,6,4.291526
JAX00601985,6,4.295539
UNC10475615,6,4.302437
JAX00137406,6,4.304946
JAX00228445,6,4.330857
JAX00137409,6,4.341708
UNC10476147,6,4.350291
JAX00601991,6,4.351082
JAX00601992,6,4.351827
JAX00601993,6,4.352006
JAX00601997,6,4.374668
JAX00601998,6,4.375674
JAX00602000,6,4.392197
JAX00602003,6,4.399528
JAX00602007,6,4.401343
JAX00137414,6,4.402306
JAX00602012,6,4.415665
UNC10476849,6,4.426442
JAX00137415,6,4.433987
JAX00137416,6,4.458595
UNC10477147,6,4.460537
JAX00602015,6,4.480858
JAX00137421,6,4.498425
JAX00602018,6,4.503453
JAX00602019,6,4.506354
UNC10477860,6,4.530108
JAX00137422,6,4.538089
JAX00228450,6,4.538231
JAX00228452,6,4.538309
JAX00602022,6,4.54229
JAX00602023,6,4.543958
JAX00602025,6,4.547317
JAX00602026,6,4.571508
JAX00602029,6,4.587721
JAX00602030,6,4.594431
UNC10478583,6,4.599823
UNC10478777,6,4.616797
JAX00602032,6,4.622518
JAX00602034,6,4.627372
JAX00602036,6,4.642271
JAX00137431,6,4.64393
JAX00137435,6,4.705839
UNC10479723,6,4.72571
JAX00602043,6,4.735977
JAX00228455,6,4.741702
JAX00228456,6,4.754426
UNC10480326,6,4.777043
JAX00602049,6,4.77738
JAX00602051,6,4.780689
backupUNC060002805,6,4.797506
JAX00602064,6,4.814133
UNC10481130,6,4.83438
JAX00602067,6,4.838131
backupUNC060002948,6,4.83894
JAX00137446,6,4.850201
JAX00137447,6,4.861747
JAX00602071,6,4.868682
UNC10481814,6,4.888043
JAX00602072,6,4.889781
JAX00137450,6,4.899623
JAX00602074,6,4.903358
JAX00602079,6,4.924991
UNC10482638,6,4.947746
UNC10482904,6,4.969794
JAX00137457,6,4.979663
