#
# nrow 6157
# ncol 3
marker,chromosome,bp
UNC29824296,19,3.151739
JAX00086305,19,3.196673
JAX00086309,19,3.262865
JAX00214169,19,3.264523
JAX00086310,19,3.270326
JAX00468917,19,3.273153
JAX00468921,19,3.286882
backupJAX00086312,19,3.295723
JAX00468924,19,3.337115
JAX00468932,19,3.349093
JAX00468933,19,3.349495
JAX00086316,19,3.356365
JAX00086317,19,3.356479
JAX00468938,19,3.371529
JAX00086319,19,3.373154
JAX00468940,19,3.379775
JAX00468946,19,3.400089
JAX00086322,19,3.413095
JAX00086325,19,3.46102
JAX00468955,19,3.461406
JAX00086326,19,3.463953
JAX00468959,19,3.486822
JAX00188550,19,3.490564
JAX00086327,19,3.494805
JAX00468974,19,3.554142
JAX00086333,19,3.563971
JAX00468977,19,3.589287
JAX00468978,19,3.599018
JAX00086335,19,3.599844
JAX00468980,19,3.600063
JAX00468981,19,3.605011
JAX00214179,19,3.613819
JAX00086336,19,3.614666
JAX00468983,19,3.617742
JAX00086337,19,3.619507
JAX00468985,19,3.620482
JAX00468987,19,3.628802
UNC29827168,19,3.637651
JAX00468994,19,3.641344
JAX00468995,19,3.643461
JAX00468997,19,3.657912
JAX00086342,19,3.683367
UNC29827681,19,3.70803
JAX00469008,19,3.716559
JAX00086350,19,3.782321
UNC29828334,19,3.799815
JAX00469016,19,3.809075
JAX00469018,19,3.819204
JAX00469019,19,3.827927
JAX00086354,19,3.859363
JAX00469027,19,3.866785
JAX00469031,19,3.883963
JAX00469036,19,3.89978
UNC29829291,19,3.948421
JAX00469047,19,3.949963
JAX00469048,19,3.950048
JAX00469058,19,3.990599
JAX00469067,19,4.019497
JAX00469068,19,4.025163
JAX00469069,19,4.025502
JAX00469082,19,4.0579
JAX00469090,19,4.083781
UNC29830560,19,4.098846
JAX00086374,19,4.109836
JAX00469095,19,4.113046
JAX00469097,19,4.117969
JAX00469099,19,4.131822
JAX00469106,19,4.156265
JAX00469107,19,4.15633
UNC29831148,19,4.166115
JAX00469114,19,4.174716
JAX00086379,19,4.196407
JAX00086382,19,4.225979
JAX00469120,19,4.228062
JAX00469121,19,4.235196
JAX00469122,19,4.235371
JAX00469123,19,4.236972
UNC29831860,19,4.262698
JAX00469130,19,4.264863
JAX00469134,19,4.273189
