#
# nrow 9073
# ncol 3
marker,chromosome,bp
JAX00429551,17,3.061394
JAX00429552,17,3.070591
JAX00072960,17,3.071428
JAX00072964,17,3.103874
JAX00429561,17,3.14389
JAX00210294,17,3.152864
JAX00429562,17,3.16235
JAX00072969,17,3.179214
JAX00072971,17,3.1855
JAX00429573,17,3.196444
JAX00429575,17,3.200593
JAX00429578,17,3.209269
JAX00429579,17,3.22631
JAX00072974,17,3.229403
JAX00429586,17,3.230903
JAX00429587,17,3.236741
JAX00429593,17,3.250233
JAX00072975,17,3.252096
JAX00429595,17,3.253356
JAX00429598,17,3.257171
backupUNC170283680,17,3.264958
JAX00429601,17,3.280496
JAX00210298,17,3.292705
JAX00429602,17,3.296445
JAX00072979,17,3.298463
JAX00429603,17,3.325721
JAX00429608,17,3.337169
JAX00429609,17,3.337229
JAX00429615,17,3.338905
JAX00072982,17,3.339849
JAX00429621,17,3.340273
UNC27485216,17,3.34228
JAX00072983,17,3.358361
JAX00429630,17,3.361841
JAX00429636,17,3.363227
JAX00429637,17,3.368168
JAX00429639,17,3.36865
JAX00429644,17,3.395197
JAX00429646,17,3.396024
JAX00429648,17,3.401178
JAX00429656,17,3.420496
JAX00429657,17,3.42105
JAX00210300,17,3.423262
JAX00429661,17,3.436559
JAX00210302,17,3.440044
JAX00429667,17,3.499962
JAX00429668,17,3.50006
JAX00429669,17,3.501876
JAX00429671,17,3.522491
JAX00429672,17,3.522541
JAX00429676,17,3.526699
JAX00429680,17,3.538496
JAX00429681,17,3.542519
JAX00429682,17,3.542924
JAX00429687,17,3.554916
JAX00072998,17,3.555661
JAX00429691,17,3.55678
JAX00429692,17,3.566088
JAX00210305,17,3.586517
JAX00429694,17,3.601835
JAX00429701,17,3.636145
JAX00073004,17,3.64033
JAX00429706,17,3.643892
JAX00429707,17,3.644061
JAX00429709,17,3.6451
JAX00429714,17,3.649515
JAX00429715,17,3.650609
JAX00073007,17,3.670286
JAX00073008,17,3.685369
JAX00429724,17,3.690959
JAX00429725,17,3.69108
UNC27491317,17,3.737834
JAX00429729,17,3.749573
JAX00429731,17,3.750333
JAX00429735,17,3.757867
JAX00073012,17,3.759496
JAX00073013,17,3.759866
JAX00429741,17,3.777978
JAX00429745,17,3.783304
JAX00429746,17,3.790251
UNC27492105,17,3.791776
JAX00073016,17,3.794927
JAX00429748,17,3.812944
JAX00073018,17,3.816395
JAX00429758,17,3.868806
JAX00073021,17,3.873778
UNC170284918,17,3.895799
JAX00429771,17,3.911636
UNC27493771,17,3.91425
JAX00073025,17,3.921907
JAX00429778,17,3.930189
JAX00429783,17,3.936274
JAX00429785,17,3.93756
JAX00429786,17,3.937858
JAX00073027,17,3.946874
JAX00429787,17,3.956674
JAX00429788,17,3.956839
JAX00429791,17,3.962604
JAX00429792,17,3.963777
JAX00429793,17,3.964389
JAX00073030,17,3.987419
JAX00429796,17,3.989881
JAX00429803,17,4.016391
JAX00429805,17,4.049688
JAX00429806,17,4.053539
JAX00429807,17,4.053568
UNC27495738,17,4.066497
JAX00429811,17,4.070855
JAX00429813,17,4.075371
JAX00073038,17,4.090433
JAX00429816,17,4.098641
JAX00429818,17,4.101688
JAX00429821,17,4.102514
UNC27496163,17,4.104466
JAX00429826,17,4.125603
UNC27497131,17,4.16233
UNC27497695,17,4.199995
JAX00073046,17,4.200276
JAX00210317,17,4.20219
JAX00429830,17,4.203829
JAX00429833,17,4.210258
JAX00073047,17,4.226927
UNC27498174,17,4.231665
JAX00073052,17,4.257391
JAX00429841,17,4.278778
JAX00429842,17,4.282374
JAX00429845,17,4.286941
UNC27499141,17,4.287694
JAX00073054,17,4.302512
JAX00429853,17,4.309746
JAX00073055,17,4.309801
JAX00429856,17,4.312699
JAX00429862,17,4.318122
JAX00429877,17,4.329298
UNC27500437,17,4.362966
JAX00429882,17,4.364465
JAX00429884,17,4.364668
JAX00429888,17,4.373709
JAX00429891,17,4.374121
JAX00429892,17,4.378797
JAX00073060,17,4.382436
backupJAX00429894,17,4.383171
JAX00429896,17,4.384263
JAX00429900,17,4.389568
JAX00429901,17,4.392871
JAX00429902,17,4.393278
UNC27501276,17,4.4146
JAX00073063,17,4.420735
JAX00429916,17,4.434818
UNC27501759,17,4.44479
JAX00073065,17,4.456789
JAX00073066,17,4.463635
JAX00429917,17,4.48599
JAX00073068,17,4.491286
JAX00429919,17,4.493197
JAX00429923,17,4.496172
JAX00429926,17,4.497041
JAX00429928,17,4.497744
JAX00429929,17,4.500798
JAX00073069,17,4.502141
JAX00073070,17,4.502451
JAX00429930,17,4.502495
JAX00429932,17,4.505335
JAX00429935,17,4.539393
JAX00429936,17,4.539699
JAX00429938,17,4.540907
JAX00429941,17,4.544068
JAX00073072,17,4.549548
JAX00429943,17,4.550069
JAX00429945,17,4.550689
JAX00429946,17,4.568319
JAX00429950,17,4.57216
JAX00429954,17,4.579953
UNC27504504,17,4.625519
UNC27504612,17,4.632385
JAX00429967,17,4.643006
JAX00429968,17,4.643048
JAX00429971,17,4.64379
JAX00429976,17,4.652346
JAX00073080,17,4.652661
JAX00429978,17,4.653454
JAX00210329,17,4.653751
JAX00429979,17,4.654336
JAX00429982,17,4.659406
JAX00429986,17,4.665619
JAX00210330,17,4.70192
JAX00073084,17,4.709086
JAX00430002,17,4.721275
JAX00073086,17,4.741573
UNC27506329,17,4.750624
JAX00430006,17,4.751545
JAX00430014,17,4.765172
JAX00430019,17,4.769074
JAX00430021,17,4.769833
JAX00073090,17,4.783645
JAX00430027,17,4.795666
UNC27507164,17,4.798332
JAX00430032,17,4.800171
JAX00430039,17,4.82976
JAX00073093,17,4.831262
UNC27508313,17,4.866347
JAX00430047,17,4.877402
UNC27508550,17,4.886603
JAX00073099,17,4.909456
JAX00430051,17,4.924163
JAX00430053,17,4.929821
JAX00430054,17,4.935329
JAX00430062,17,4.980737
JAX00073106,17,4.981953
JAX00430065,17,4.989367
JAX00430067,17,5.000799
UNC27510238,17,5.01151
JAX00430070,17,5.012529
JAX00210337,17,5.016597
JAX00073108,17,5.016823
JAX00430074,17,5.025665
UNC27510821,17,5.046086
JAX00430080,17,5.061437
JAX00430086,17,5.06746
JAX00430087,17,5.070203
UNC171027982,17,5.086485
UNC27511647,17,5.101753
JAX00073115,17,5.107385
JAX00430101,17,5.112167
JAX00430103,17,5.120573
JAX00430104,17,5.127003
JAX00430107,17,5.12787
JAX00430108,17,5.127909
JAX00430111,17,5.130034
UNC27512232,17,5.134843
JAX00430119,17,5.15741
JAX00430120,17,5.157492
JAX00430121,17,5.157523
JAX00210340,17,5.160482
JAX00210342,17,5.160687
JAX00073119,17,5.165757
JAX00073120,17,5.165774
JAX00073121,17,5.167408
JAX00430125,17,5.183806
JAX00430131,17,5.190889
UNC27513380,17,5.197551
JAX00430132,17,5.207775
JAX00073122,17,5.220102
JAX00073123,17,5.223007
JAX00430133,17,5.227078
JAX00430137,17,5.233104
JAX00430138,17,5.233502
JAX00430139,17,5.233774
UNC27514092,17,5.23974
JAX00430141,17,5.242588
JAX00430142,17,5.243368
JAX00430145,17,5.244681
JAX00430150,17,5.280025
JAX00073126,17,5.280572
JAX00430155,17,5.282902
JAX00430157,17,5.286951
UNC27514735,17,5.287554
JAX00430159,17,5.290487
JAX00430162,17,5.297936
JAX00188340,17,5.332903
JAX00073131,17,5.333738
UNC27515402,17,5.335018
JAX00430181,17,5.365036
JAX00073134,17,5.382544
JAX00430183,17,5.384626
UNC27516043,17,5.386356
UNC27516526,17,5.416592
JAX00430192,17,5.421211
JAX00073140,17,5.443689
JAX00430197,17,5.451764
JAX00073141,17,5.454337
JAX00430203,17,5.470844
UNC27517431,17,5.471866
JAX00430206,17,5.517161
JAX00430207,17,5.520097
UNC27518476,17,5.539589
JAX00073146,17,5.542091
JAX00430213,17,5.55095
JAX00430215,17,5.551122
JAX00430218,17,5.556602
JAX00430228,17,5.587619
UNC27519200,17,5.588234
JAX00430229,17,5.588873
JAX00430230,17,5.589591
JAX00430231,17,5.589804
JAX00073151,17,5.602435
JAX00073152,17,5.607654
JAX00430235,17,5.608679
JAX00430236,17,5.608835
JAX00430237,17,5.612125
JAX00073153,17,5.612314
UNC27519627,17,5.613951
JAX00430240,17,5.62969
JAX00430243,17,5.633212
JAX00430248,17,5.64191
JAX00430249,17,5.642223
JAX00430250,17,5.642361
JAX00430252,17,5.645437
UNC27520267,17,5.655233
JAX00430257,17,5.656182
UNC27520342,17,5.657772
UNC27520390,17,5.660361
UNC27520413,17,5.661466
UNC27520426,17,5.663602
UNC27520448,17,5.664877
UNC27520488,17,5.666704
UNC27520546,17,5.669012
UNC27520565,17,5.669899
UNC27520624,17,5.672137
UNC27520666,17,5.673794
UNC27520720,17,5.676436
JAX00430259,17,5.685926
JAX00430260,17,5.68801
JAX00430264,17,5.702508
JAX00430265,17,5.703304
JAX00430267,17,5.703954
JAX00430271,17,5.713846
JAX00430274,17,5.717729
JAX00430275,17,5.720088
JAX00430278,17,5.72674
JAX00430280,17,5.732976
JAX00430281,17,5.733053
JAX00430282,17,5.733103
UNC27521799,17,5.740369
JAX00430290,17,5.743986
JAX00430292,17,5.746962
JAX00430294,17,5.77123
JAX00430295,17,5.771299
JAX00430296,17,5.779311
UNC27522753,17,5.803148
JAX00430301,17,5.805403
JAX00430305,17,5.805813
JAX00430306,17,5.806609
JAX00430310,17,5.809379
JAX00430312,17,5.854667
JAX00430317,17,5.886159
JAX00430319,17,5.886893
JAX00430320,17,5.887333
JAX00073173,17,5.888866
JAX00430324,17,5.897137
JAX00430335,17,5.906386
JAX00430336,17,5.918568
JAX00430338,17,5.922707
JAX00430340,17,5.935957
UNC27523158,17,5.956916
JAX00073181,17,5.989804
JAX00430344,17,5.990185
UNC170286629,17,5.991544
JAX00430347,17,5.997059
JAX00430348,17,5.997291
JAX00430350,17,5.999538
JAX00073182,17,6.019083
JAX00430353,17,6.019125
JAX00430354,17,6.019436
JAX00430356,17,6.020347
JAX00430357,17,6.022224
UNC27523857,17,6.022983
JAX00430367,17,6.03213
JAX00430368,17,6.033769
JAX00188341,17,6.038488
JAX00430376,17,6.055135
JAX00430381,17,6.072228
JAX00430382,17,6.073632
JAX00073189,17,6.097036
JAX00073191,17,6.135953
UNC170009437,17,6.155803
JAX00073195,17,6.164804
UNC27524780,17,6.166492
